Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Web Search Verification
Jungle Getaway,,085898 95628
7Heaven Resorts,,077363 45444
"Green Mystic Resort, Wayanad",
Green pepper- By the riverside,,082819 86217
Vythiri Grace Residency,,075599 34024
Ceepee's Holiday Inn,,095267 76766
Wayanad rooms,,075938 01887
Vythiri Saara inn,,096457 76853
Holidays Garden Resort,,070342 08484
Royal Valley Service Villa,,099616 21479
English & Scottish bungalow,,090105 90007
wayanad homestay,,070123 36368
Casa Resto,,079078 71919
Clements Holiday Home,,04936 208 773
Icon Riverside resort,,089219 13890
Mass Residency,,097452 96260
Regalia Rooms & Dorms,,082898 11898
Coffee stream holiday homes,,089217 44895
Turmerica Resorts,,096057 88775
OYO Crystal Residency,,0124 620 1164
Royal Palm Resort,,094471 43124
Citadel Holiday Home,,99618 44227
GMR Suites,,075618 27927
Sunrise homestay,,099161 78745
MGT Tourist Home,,094479 84705
mygardenofeden,,098470 72203
Navarang Villa,,063615 75496
Red woods,,096057 78483
Rainhills Holidays,,096052 80323
Atmost,,097448 58482
Rocky Nest,,094472 97893
Wayanad Palms,,097449 71144
Best holidays wayanad,,097469 60690
Angels Nest Home stay kattikulam,,080752 24725
Tiger County Jungle Lodge,,04935 296 333
ATTICS by Kabani Riverside,,094465 67074
Cinnamon Villa Wayanad,,079074 46610
Relax Inn Dwaraka,,083018 17210
Yayaz Resorts & Hotels Wayanad (Amida Castle),,089600 01166
"Kashmir Mist Resort , sulthan bathery",
WayanadHome,,094469 52496
OYO Sierra Vista Apartments,,0124 620 1164
WAYANAD MIST TOURIST HOME,,085898 42500
Chakkalakkal Residency,,099476 30043
WavesMahe,,098452 87717
Chinar villa Homestay,,062380 76197
Grande Vista Resort Wayanad,,083675 00600
Golden Hill View Resort Wayanad,,085898 89775
Lake Monarch Heritage Cottages,,081119 98851
Tharavad heritage villa,,094009 73549
Rain Drops Homestay,,094473 41103
Wind Chimes Ville,,093888 09996
Wayanad Avenue Resorts,,062355 23714
Wayanad Wind Resorts,,098471 87755
Cherry Castle,,095629 41391
OYO Flagship 812334 Hill View Galaxy Villa,,0124 620 1164
Anchor Resorts,,094465 52359
PWD Rest House,,0490 232 0468
The Metro Landsend Beach Resort,,070254 05556
Arabian Beach Resort,,075610 11155
Mabbit Hotels & Resorts in Calicut,,099467 07777
FARM FORT RESORT & CONVENTION CENTRE,,080861 11888
Nalanda Hotel and Auditorium,,0495 236 6566
Florence ooty,,092073 79101
SUNSET VALLEY HOLIDAY INN,,097516 38143
"SaffronStays Milton Abbott Estate, Ooty",
Greenyards Cottages,,089033 31339
Albisville-hilltop mansions,,090618 86885
AURORA LIGHT RESIDENCY,,094430 42553
THE BOWERS CHALET,,078250 52505
Hotel Bluebird,,0423 244 4465
Mount Breeze Cottage,,082482 60352
White Residency/Ooty Biriyani House,,096260 53942
Colonels Inn,,098181 05999
A Ooty Honey Huts,,085085 99799
Green Mountain Villa,,090870 66488
The Earthy Nest by Brown Tree,,093630 36766
HAPPYSTAY Rooms and Cottages,,093807 56062
Cherry Blossom,,090801 30180
Silver Dollar Resorts,,097874 97435
Natures Retreat Resort Ooty,,078250 51515
180Mciver,,0423 223 3323
Brookevalley Palace Homestay,,082481 23633
PRAVEEN KUDIL COTTAGE,,094438 51424
Sri Lakshmi Tourist Home (S.L.T.H),,078456 85188
Greenview Rest House - Best Homestay in Ooty,,097877 77780
iClouds Resort,,063692 35199
Thamarai Villa Cottage,,098432 18265
Brooklands Christian Guest Home,,094452 08060
Riga Residency,,0423 223 4405
SKYLARC INN - BEST HOMESTAY IN COONOOR,,097879 67275
Krish,,093455 29081
Pear Tree Inn Entire Villa Kotagiri,,078670 45212
Valley View - Shola,,095851 33222
O2 Hill Resort,,094437 35153
Franc villa holiday home,,095859 78597
Lynton Resorts,,073584 86339
Silver Spruce Entire Floor Villa Kotagiri,,078670 45212
Golf Dale Holiday Resort Kotagiri,,094430 77830
FUSCHIA,,070946 36029
