Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL
Niyatma Resort Wayanad by VOYE HOMES,,070127 27937,,4.4,1119,Unknown,https://www.google.com/maps/place/Niyatma+Resort+Wayanad+by+VOYE+HOMES/data=!4m10!3m9!1s0x3ba60b697d6d6c9f:0x16f21fdf612bfae5!5m2!4m1!1i2!8m2!3d11.6475353!4d76.1051613!16s%2Fg%2F11fhqkspvn!19sChIJn2xtfWkLpjsR5forYd8f8hY?authuser=0&hl=en&rclk=1,https://www.niyatmaresort.com/
Kings Flora Organic Farm Resort,,099461 00068,,4.6,491,Unknown,https://www.google.com/maps/place/Kings+Flora+Organic+Farm+Resort/data=!4m10!3m9!1s0x3ba6746938783339:0x598282137a90c3ef!5m2!4m1!1i2!8m2!3d11.6525106!4d76.022124!16s%2Fg%2F12611sptb!19sChIJOTN4OGl0pjsR78OQehOCglk?authuser=0&hl=en&rclk=1,https://livikhospitality.com/kings-flora-resort/
Aalterra Resort by The Almanac,,089213 17552,,4.8,918,Unknown,https://www.google.com/maps/place/Aalterra+Resort+by+The+Almanac/data=!4m10!3m9!1s0x3ba675f04882525f:0xb95468ae6651f25b!5m2!4m1!1i2!8m2!3d11.6520968!4d76.0363958!16s%2Fg%2F11r_pqxjw6!19sChIJX1KCSPB1pjsRW_JRZq5oVLk?authuser=0&hl=en&rclk=1,http://www.aalterraresort.com/
Black Forest Wayanad,,096564 99644,,4.2,662,No,https://www.google.com/maps/place/Black+Forest+Wayanad/data=!4m10!3m9!1s0x3ba5e1266ca1af2f:0x10455dcef3392a1!5m2!4m1!1i2!8m2!3d11.7306224!4d76.141654!16s%2Fg%2F11f60wkj39!19sChIJL6-hbCbhpTsRoZIz79xVBAE?authuser=0&hl=en&rclk=1,https://blackforestwayanad.com/
Hiliya Resort Wayanad,,099466 08800,,4.3,691,Unknown,https://www.google.com/maps/place/Hiliya+Resort+Wayanad/data=!4m10!3m9!1s0x3ba60a76aaaaaaab:0xbbf7099f3cd0d547!5m2!4m1!1i2!8m2!3d11.734639!4d76.142899!16s%2Fg%2F1tdqfxj8!19sChIJq6qqqnYKpjsRR9XQPJ8J97s?authuser=0&hl=en&rclk=1,http://www.hiliyaresort.com/
GReaT trails Wayanad by GRT Hotels,,080 6925 0555,,4.8,1684,Unknown,https://www.google.com/maps/place/GReaT+trails+Wayanad+by+GRT+Hotels/data=!4m10!3m9!1s0x3ba673c13f6d89e1:0x4cc65705f1b9a5b!5m2!4m1!1i2!8m2!3d11.6305099!4d76.0170406!16s%2Fg%2F11qh92f_r3!19sChIJ4YltP8FzpjsRW5obX3BlzAQ?authuser=0&hl=en&rclk=1,http://grthotels.com/wayanad
Coffee Greens Resort Wayanad,,070346 80007,,4.7,899,Unknown,https://www.google.com/maps/place/Coffee+Greens+Resort+Wayanad/data=!4m10!3m9!1s0x3ba60b74a212561d:0xbeb51b8d71b95d1a!5m2!4m1!1i2!8m2!3d11.66254!4d76.1213862!16s%2Fg%2F11h5w94qnm!19sChIJHVYSonQLpjsRGl25cY0btb4?authuser=0&hl=en&rclk=1,https://coffeegreensresort.com/
Cybele Hill Resort,,097441 24835,,4.5,879,Unknown,https://www.google.com/maps/place/Cybele+Hill+Resort/data=!4m10!3m9!1s0x3ba60c88158b4b7d:0x8daf43d3b4e477e4!5m2!4m1!1i2!8m2!3d11.6309347!4d76.1259213!16s%2Fg%2F1td28s37!19sChIJfUuLFYgMpjsR5HfktNNDr40?authuser=0&hl=en&rclk=1,http://wayanadcybelehillresorts.com/
Mountain Pond Resort,,075107 87272,,4.4,398,Unknown,https://www.google.com/maps/place/Mountain+Pond+Resort/data=!4m10!3m9!1s0x3ba5e19dac4e3c4b:0x83e3545ba2717c07!5m2!4m1!1i2!8m2!3d11.702199!4d76.0219405!16s%2Fg%2F11tjl_ncgb!19sChIJSzxOrJ3hpTsRB3xxoltU44M?authuser=0&hl=en&rclk=1,https://www.mountainpondresort.com/
MARYLAND HOLIDAY RESORT WAYANAD BY VOYE HOMES,,070128 85450,,4.9,105,Unknown,https://www.google.com/maps/place/MARYLAND+HOLIDAY+RESORT+WAYANAD+BY+VOYE+HOMES/data=!4m10!3m9!1s0x3ba60b2fcd2bc541:0xf0c2f525d36e7e3d!5m2!4m1!1i2!8m2!3d11.6621148!4d76.1142276!16s%2Fg%2F11yjlzmpzy!19sChIJQcUrzS8LpjsRPX5u0yX1wvA?authuser=0&hl=en&rclk=1,https://voyehomes.com/maryland-holiday-best-resort-in-wayanad-uyk
River Valley Huts Wayanad,,085901 67416,,4.6,70,Unknown,https://www.google.com/maps/place/River+Valley+Huts+Wayanad/data=!4m10!3m9!1s0x3ba5dffcef50b2c1:0xb441e8a70aea1ab1!5m2!4m1!1i2!8m2!3d11.7487936!4d76.0781504!16s%2Fg%2F11frswqchz!19sChIJwbJQ7_zfpTsRsRrqCqfoQbQ?authuser=0&hl=en&rclk=1,http://rivervalleyhuts.com/
Wayal Wayanad Farm Resort,,085930 42865,,4.6,230,Unknown,https://www.google.com/maps/place/Wayal+Wayanad+Farm+Resort/data=!4m10!3m9!1s0x3ba5e16431154223:0x7d58266add964b3!5m2!4m1!1i2!8m2!3d11.731219!4d76.0873007!16s%2Fg%2F11kgch0qyp!19sChIJI0IVMWThpTsRs2TZrWaC1Qc?authuser=0&hl=en&rclk=1,http://wayalwayanadresort.com/
Casta Wild Resort,,085907 65684,,5.0,335,Unknown,https://www.google.com/maps/place/Casta+Wild+Resort/data=!4m10!3m9!1s0x3ba60b00140b5095:0xacea9e475910195a!5m2!4m1!1i2!8m2!3d11.7054381!4d76.1656016!16s%2Fg%2F11wfm_m51g!19sChIJlVALFAALpjsRWhkQWUee6qw?authuser=0&hl=en&rclk=1,https://www.castawild.com/
Wayanad Mace Mansion,,090728 07777,,4.8,487,Unknown,https://www.google.com/maps/place/Wayanad+Mace+Mansion/data=!4m10!3m9!1s0x3ba5e1dda728b317:0xc0660044605a8317!5m2!4m1!1i2!8m2!3d11.7430944!4d76.1276496!16s%2Fg%2F11p6glxxj2!19sChIJF7Mop93hpTsRF4NaYEQAZsA?authuser=0&hl=en&rclk=1,http://macemansion.com/
Kudajadri Drizzle - Best Wayanad Homestays,,099463 54511,,4.7,961,Unknown,https://www.google.com/maps/place/Kudajadri+Drizzle+-+Best+Wayanad+Homestays/data=!4m10!3m9!1s0x3ba6752bf8e8c185:0x5bf951fa893c48b4!5m2!4m1!1i2!8m2!3d11.6944682!4d76.0925395!16s%2Fg%2F1ptwp6yd6!19sChIJhcHo-Ct1pjsRtEg8ifpR-Vs?authuser=0&hl=en&rclk=1,https://www.kudajadridrizzle.com/?utm_source=google&utm_medium=localbusiness&utm_campaign=visitwebsite
Cozy nest,,062820 11125,,4.5,26,Unknown,https://www.google.com/maps/place/Cozy+nest/data=!4m10!3m9!1s0x3ba675005f31fda1:0x8a90f8db686353a7!5m2!4m1!1i2!8m2!3d11.6606494!4d76.0131101!16s%2Fg%2F11mdlvjld2!19sChIJof0xXwB1pjsRp1NjaNv4kIo?authuser=0&hl=en&rclk=1,https://cozynestwayanad.vercel.app/
Raindrops Resorts Wayanad,,083019 56119,,4.4,746,Unknown,https://www.google.com/maps/place/Raindrops+Resorts+Wayanad/data=!4m10!3m9!1s0x3ba605db04444c1f:0xadc96d48d5872c4b!5m2!4m1!1i2!8m2!3d11.6404826!4d76.301461!16s%2Fg%2F11g8g0wmf3!19sChIJH0xEBNsFpjsRSyyH1Uhtya0?authuser=0&hl=en&rclk=1,http://raindropsresorts.com/
Terrace Resorts Wayanad,,098475 02763,,4.1,585,No,https://www.google.com/maps/place/Terrace+Resorts+Wayanad/data=!4m10!3m9!1s0x3ba677ecbbf339e7:0x1c3bb796a932ea72!5m2!4m1!1i2!8m2!3d11.6654022!4d75.9663517!16s%2Fg%2F11ncbml6wh!19sChIJ5znzu-x3pjsRcuoyqZa3Oxw?authuser=0&hl=en&rclk=1,http://www.terraceresorts.com/
"DJ River Meadows, Resort in Wayanad",,091886 00332,,4.6,723,Unknown,"https://www.google.com/maps/place/DJ+River+Meadows,+Resort+in+Wayanad/data=!4m10!3m9!1s0x3ba5de1848055e9f:0xabaef34b762f5644!5m2!4m1!1i2!8m2!3d11.7959665!4d76.0756502!16s%2Fg%2F11gfp3r20c!19sChIJn14FSBjepTsRRFYvdkvzrqs?authuser=0&hl=en&rclk=1",http://djrivermeadows.com/
Vythiri Retreat Resort,,062352 21477,,4.2,384,Unknown,https://www.google.com/maps/place/Vythiri+Retreat+Resort/data=!4m10!3m9!1s0x3ba673646d418843:0x3a1138fefa20c7fd!5m2!4m1!1i2!8m2!3d11.555186!4d76.0595914!16s%2Fg%2F11h_7mwb7z!19sChIJQ4hBbWRzpjsR_ccg-v44ETo?authuser=0&hl=en&rclk=1,https://vythiri-retreat-resort.wheree.com/
