Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Web Search Verification
Jungle Getaway,,085898 95628,,5.0,20,No,https://www.google.com/maps/place/Jungle+Getaway/data=!4m10!3m9!1s0x3ba5e19d804c7af3:0xa24034a0e3138e88!5m2!4m1!1i2!8m2!3d11.7658505!4d76.1421772!16s%2Fg%2F11txt84wxg!19sChIJ83pMgJ3hpTsRiI4T46A0QKI?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
7Heaven Resorts,,077363 45444,,4.8,137,Unknown,https://www.google.com/maps/place/7Heaven+Resorts/data=!4m10!3m9!1s0x3ba60dae3cdfdcb3:0x26ae941dbe44f2c6!5m2!4m1!1i2!8m2!3d11.5939554!4d76.177129!16s%2Fg%2F11j21xftxh!19sChIJs9zfPK4NpjsRxvJEvh2UriY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
"Green Mystic Resort, Wayanad",,098954 46697,,4.4,7,No,"https://www.google.com/maps/place/Green+Mystic+Resort,+Wayanad/data=!4m10!3m9!1s0x3ba673d62d59574b:0x4a82fed119307f38!5m2!4m1!1i2!8m2!3d11.5576292!4d76.0346389!16s%2Fg%2F11lv9cbr5g!19sChIJS1dZLdZzpjsROH8wGdH-gko?authuser=0&hl=en&rclk=1",no matching own-domain result in top results (checked 2x)
Green pepper- By the riverside,,082819 86217,,4.1,63,Unknown,https://www.google.com/maps/place/Green+pepper-+By+the+riverside/data=!4m10!3m9!1s0x3ba67385230efba5:0xaf3bd8a5320e03a!5m2!4m1!1i2!8m2!3d11.5571371!4d76.0426235!16s%2Fg%2F11fkpjzbxr!19sChIJpfsOI4VzpjsROuAgU4q98wo?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Vythiri Grace Residency,,075599 34024,,3.8,98,No,https://www.google.com/maps/place/Vythiri+Grace+Residency/data=!4m10!3m9!1s0x3ba672884571e419:0x94900f9af999c142!5m2!4m1!1i2!8m2!3d11.5607647!4d76.041229!16s%2Fg%2F11b6gm08f5!19sChIJGeRxRYhypjsRQsGZ-ZoPkJQ?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Ceepee's Holiday Inn,,095267 76766,,3.7,38,No,https://www.google.com/maps/place/Ceepee%27s+Holiday+Inn/data=!4m10!3m9!1s0x3ba6727f44df8ef7:0x5a91e8433016b621!5m2!4m1!1i2!8m2!3d11.5478836!4d76.0341785!16s%2Fg%2F11f4wsy8gt!19sChIJ947fRH9ypjsRIbYWMEPokVo?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Wayanad rooms,,075938 01887,,3.5,4,Unknown,https://www.google.com/maps/place/Wayanad+rooms/data=!4m10!3m9!1s0x3ba66df5882dd067:0x6e63a712dfb90b4e!5m2!4m1!1i2!8m2!3d11.5397111!4d76.0363628!16s%2Fg%2F11mf82jvwb!19sChIJZ9AtiPVtpjsRTgu53xKnY24?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Vythiri Saara inn,,096457 76853,,4.8,9,Unknown,https://www.google.com/maps/place/Vythiri+Saara+inn/data=!4m10!3m9!1s0x3ba67300336b8cc7:0xa951c3eba94b5e4b!5m2!4m1!1i2!8m2!3d11.5606392!4d76.0413602!16s%2Fg%2F11vxy_v52_!19sChIJx4xrMwBzpjsRS15LqevDUak?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Holidays Garden Resort,,070342 08484,,4.8,389,Unknown,https://www.google.com/maps/place/Holidays+Garden+Resort/data=!4m10!3m9!1s0x3ba6733578e01697:0xdf9d844a55245678!5m2!4m1!1i2!8m2!3d11.616386!4d76.083098!16s%2Fg%2F11wv_h9c8k!19sChIJlxbgeDVzpjsReFYkVUqEnd8?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Royal Valley Service Villa,,099616 21479,,4.4,73,Unknown,https://www.google.com/maps/place/Royal+Valley+Service+Villa/data=!4m10!3m9!1s0x3ba67339227b9737:0xe65508f85d06ec97!5m2!4m1!1i2!8m2!3d11.6053761!4d76.0519867!16s%2Fg%2F11tmkg6kx4!19sChIJN5d7IjlzpjsRl-wGXfgIVeY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
English & Scottish bungalow,,090105 90007,,4.6,74,No,https://www.google.com/maps/place/English+%26+Scottish+bungalow/data=!4m10!3m9!1s0x3ba67300389b560b:0xe74e0acdd1069916!5m2!4m1!1i2!8m2!3d11.5702192!4d76.0780794!16s%2Fg%2F11y3ykyl4n!19sChIJC1abOABzpjsRFpkG0c0KTuc?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
wayanad homestay,,070123 36368,,4.2,48,Unknown,https://www.google.com/maps/place/wayanad+homestay/data=!4m10!3m9!1s0x3ba67329c1ab8849:0x8bb8dfd44ed58bbb!5m2!4m1!1i2!8m2!3d11.5996555!4d76.0784597!16s%2Fg%2F11lgdlcw_n!19sChIJSYirwSlzpjsRu4vVTtTfuIs?authuser=0&hl=en&rclk=1,no comparable tokens in name
Casa Resto,,079078 71919,,4.2,150,Unknown,https://www.google.com/maps/place/Casa+Resto/data=!4m10!3m9!1s0x3ba673c4d132b293:0x3c04b4d21a8bff59!5m2!4m1!1i2!8m2!3d11.6192911!4d76.0734491!16s%2Fg%2F11h6vj1yts!19sChIJk7Iy0cRzpjsRWf-LGtK0BDw?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Clements Holiday Home,,04936 208 773,,3.5,145,No,https://www.google.com/maps/place/Clements+Holiday+Home/data=!4m10!3m9!1s0x3ba60cccd1a6f161:0x5d5714957a4c5597!5m2!4m1!1i2!8m2!3d11.6084456!4d76.0857069!16s%2Fg%2F11bwys05pf!19sChIJYfGm0cwMpjsRl1VMepUUV10?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Icon Riverside resort,,089219 13890,,4.6,84,Unknown,https://www.google.com/maps/place/Icon+Riverside+resort/data=!4m10!3m9!1s0x3ba673002a621a39:0x1371bb5d60894388!5m2!4m1!1i2!8m2!3d11.5820464!4d76.0853112!16s%2Fg%2F11w_hwvk9m!19sChIJORpiKgBzpjsRiEOJYF27cRM?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
