Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Web Search Verification
Hillway Resort,,070252 41068,hotel,4.6,114,Unknown,https://www.google.com/maps/place/Hillway+Resort/data=!4m10!3m9!1s0x3ba6738809249011:0xea4181c52eb2a77e!5m2!4m1!1i2!8m2!3d11.5485916!4d76.0465165!16s%2Fg%2F11ybtjdty2!19sChIJEZAkCYhzpjsRfqeyLsWBQeo?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Heaven Hills Resort,,075103 00049,hotel,4.1,1021,Unknown,https://www.google.com/maps/place/Heaven+Hills+Resort/data=!4m10!3m9!1s0x3ba673561cc3b063:0xab9513c82cba35cf!5m2!4m1!1i2!8m2!3d11.5535403!4d76.0578039!16s%2Fg%2F11qnj0ctb9!19sChIJY7DDHFZzpjsRzzW6LMgTlas?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Ashla Boutique Resort,,098470 91222,hotel,4.8,42,Unknown,https://www.google.com/maps/place/Ashla+Boutique+Resort/data=!4m10!3m9!1s0x3ba6731afe6868d3:0xf89d437c16454da6!5m2!4m1!1i2!8m2!3d11.549918!4d76.0486997!16s%2Fg%2F11v6k79h7n!19sChIJ02ho_hpzpjsRpk1FFnxDnfg?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Wayanad rooms,,075938 01887,hotel,3.5,4,Unknown,https://www.google.com/maps/place/Wayanad+rooms/data=!4m10!3m9!1s0x3ba66df5882dd067:0x6e63a712dfb90b4e!5m2!4m1!1i2!8m2!3d11.5397111!4d76.0363628!16s%2Fg%2F11mf82jvwb!19sChIJZ9AtiPVtpjsRTgu53xKnY24?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Green pepper- By the riverside,,082819 86217,,4.1,63,Unknown,https://www.google.com/maps/place/Green+pepper-+By+the+riverside/data=!4m10!3m9!1s0x3ba67385230efba5:0xaf3bd8a5320e03a!5m2!4m1!1i2!8m2!3d11.5571371!4d76.0426235!16s%2Fg%2F11fkpjzbxr!19sChIJpfsOI4VzpjsROuAgU4q98wo?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
English & Scottish bungalow,,090105 90007,hotel,4.6,74,No,https://www.google.com/maps/place/English+%26+Scottish+bungalow/data=!4m10!3m9!1s0x3ba67300389b560b:0xe74e0acdd1069916!5m2!4m1!1i2!8m2!3d11.5702192!4d76.0780794!16s%2Fg%2F11y3ykyl4n!19sChIJC1abOABzpjsRFpkG0c0KTuc?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Holidays Garden Resort,,070342 08484,hotel,4.8,389,Unknown,https://www.google.com/maps/place/Holidays+Garden+Resort/data=!4m10!3m9!1s0x3ba6733578e01697:0xdf9d844a55245678!5m2!4m1!1i2!8m2!3d11.616386!4d76.083098!16s%2Fg%2F11wv_h9c8k!19sChIJlxbgeDVzpjsReFYkVUqEnd8?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Vythiri Retreat Resort,,062352 21477,INDRIYA WAYANAD,4.2,384,Unknown,https://www.google.com/maps/place/Vythiri+Retreat+Resort/data=!4m10!3m9!1s0x3ba673646d418843:0x3a1138fefa20c7fd!5m2!4m1!1i2!8m2!3d11.555186!4d76.0595914!16s%2Fg%2F11h_7mwb7z!19sChIJQ4hBbWRzpjsR_ccg-v44ETo?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Avana Holiday Experiences,,090615 66599,hotel,5.0,19,Unknown,https://www.google.com/maps/place/Avana+Holiday+Experiences/data=!4m10!3m9!1s0x3ba60d4c5541e175:0x90a8590decc779c9!5m2!4m1!1i2!8m2!3d11.6315146!4d76.0908645!16s%2Fg%2F11yx_zhdx0!19sChIJdeFBVUwNpjsRyXnH7A1ZqJA?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Bucolic Resort,,082810 10786,hotel,3.8,1850,Unknown,https://www.google.com/maps/place/Bucolic+Resort/data=!4m10!3m9!1s0x3ba673e88d7469c5:0x1ced503a4076b431!5m2!4m1!1i2!8m2!3d11.6094513!4d76.0565965!16s%2Fg%2F11kj3pjsbq!19sChIJxWl0jehzpjsRMbR2QDpQ7Rw?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
