Niche,Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Bangalore Dental Clinics,JAIN DENTAL CENTRE | Painless Dentistry | Specialist Implant & Multispeciality Clinic,,+91 98450 44319,"A-101Brigade Majestic 1st Main near girias Above Airtel, Kalidasa Marg, behind pothys",4.8,411,Unknown,https://www.google.com/maps/place/JAIN+DENTAL+CENTRE+%7C+Painless+Dentistry+%7C+Specialist+Implant+%26+Multispeciality+Clinic/data=!4m7!3m6!1s0x3bae160ef48499ed:0x64ba8138e8396e19!8m2!3d12.9757762!4d77.579427!16s%2Fg%2F1w6_m826!19sChIJ7ZmE9A4WrjsRGW456DiBumQ?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,UBUNTU RETREAT,,+91 97454 34444,,4.8,190,Unknown,https://www.google.com/maps/place/UBUNTU+RETREAT/data=!4m10!3m9!1s0x3ba8bd261a3e59eb:0xe3b9af7bbbe9af2a!5m2!4m1!1i2!8m2!3d11.4065312!4d76.6847082!16s%2Fg%2F11thfrlv_c!19sChIJ61k-Gia9qDsRKq_pu3uvueM?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,Khaana Mehfil Restaurant Abu Dhabi,,+971 52 496 6411,AED 1–50,4.9,378,Unknown,https://www.google.com/maps/place/Khaana+Mehfil+Restaurant+Abu+Dhabi/data=!4m7!3m6!1s0x3e5e67163d802b21:0x162e3818e7aee068!8m2!3d24.5009374!4d54.37505!16s%2Fg%2F11pzx9b8g_!19sChIJISuAPRZnXj4RaOCu5xg4LhY?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,Nando's - The View Mall,,+966 56 478 4519,"Cenomi The View Mall, Gate 7, Ali Izat Bighufich St Level 1",4.8,3503,Unknown,https://www.google.com/maps/place/Nando%27s+-+The+View+Mall/data=!4m7!3m6!1s0x3e2f03e006007455:0xb6f1609338f214d3!8m2!3d24.6961972!4d46.7286853!16s%2Fg%2F11tfxrwgd8!19sChIJVXQABuADLz4R0xTyOJNg8bY?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,Bellbird,,+966 55 083 0061,"3739 Al Thoumamah Rd, RARB7241, 7241",4.6,8945,Unknown,https://www.google.com/maps/place/Bellbird/data=!4m7!3m6!1s0x3e2ee3d7ab32400f:0xec098f0de03b1f9d!8m2!3d24.7885338!4d46.6478993!16s%2Fg%2F11j_6gpfl8!19sChIJD0Ayq9fjLj4RnR874A2PCew?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,Makan Indian Restaurant,,+966 57 351 4100,Prince Mohammed Bin Abdulaziz St,4.7,13292,Unknown,https://www.google.com/maps/place/Makan+Indian+Restaurant/data=!4m7!3m6!1s0x15c3c5e10f3163fd:0xcd2d174366095ced!8m2!3d21.5493026!4d39.1390245!16s%2Fg%2F11pzbpy7_b!19sChIJ_WMxD-HFwxUR7VwJZkMXLc0?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,مطعم ذا باي الهندي | The Bay Restaurant,,+966 56 737 6168,Prince Mohammed Bin Abdulaziz St,4.6,3457,Unknown,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%B0%D8%A7+%D8%A8%D8%A7%D9%8A+%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%8A+%7C+The+Bay+Restaurant%E2%80%AD/data=!4m7!3m6!1s0x15c16330e6b3451b:0x176050449652bda6!8m2!3d21.5491491!4d39.1646313!16s%2Fg%2F11rd8ftz1_!19sChIJG0Wz5jBjwRURpr1SlkRQYBc?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,Da Bao,,+966 56 516 1760,"dist, Prince Saud Al Faisal، Rovan tower",4.6,3521,Unknown,https://www.google.com/maps/place/Da+Bao/data=!4m7!3m6!1s0x15c3d130ffc36c45:0xc8f9c37c1a397609!8m2!3d21.5620506!4d39.161459!16s%2Fg%2F11lfg_y7lr!19sChIJRWzD_zDRwxURCXY5GnzD-cg?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Nigeria Hair Salons,Finest hiz and herz salon,,+234 816 475 2226,"Solaron plaza, 17 Akowonjo Rd",4.9,169,Unknown,https://www.google.com/maps/place/Finest+hiz+and+herz+salon/data=!4m7!3m6!1s0x103b912b2d1405d5:0xb74409e076babd85!8m2!3d6.5997603!4d3.2928946!16s%2Fg%2F11sgczg4fb!19sChIJ1QUULSuROxARhb26duAJRLc?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Nigeria Hair Salons,7oh6 salon,,+234 812 581 8068,"kilo bus stop, 6, by Akpoguma St",4.9,161,Unknown,https://www.google.com/maps/place/7oh6+salon/data=!4m7!3m6!1s0x103b8dc87445331b:0x810d73c78e5b0299!8m2!3d6.5008993!4d3.3453811!16s%2Fg%2F11h89lqpgg!19sChIJGzNFdMiNOxARmQJbjsdzDYE?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
