Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
Sky Dental Clinic,,+91 93532 48386,"618, 80 Feet Rd, near maharaja signal",4.9,832,Unknown,https://www.google.com/maps/place/Sky+Dental+Clinic/data=!4m7!3m6!1s0x3bae15abbcceeac1:0x8d74c9fa44d53aa!8m2!3d12.9349117!4d77.6294529!16s%2Fg%2F11q3tdnddy!19sChIJwerOvKsVrjsRqlNNpJ9M1wg?authuser=0&hl=en&rclk=1,https://skydentalbengaluru.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,Google Maps
"Dr. Inchara Vadegadde -iLUMNA+ Healthcare- Best dental clinic Bangalore, Jayanagar| Dental implant & Invisalign",,+91 74114 11069,"40, 32nd Cross Rd",4.8,339,Unknown,"https://www.google.com/maps/place/Dr.+Inchara+Vadegadde+-iLUMNA%2B+Healthcare-+Best+dental+clinic+Bangalore,+Jayanagar%7C+Dental+implant+%26+Invisalign/data=!4m7!3m6!1s0x3bae3ff616f8fa99:0x6c34f8d1caf0009e!8m2!3d12.9274173!4d77.578601!16s%2Fg%2F11vymd4klb!19sChIJmfr4FvY_rjsRngDwytH4NGw?authuser=0&hl=en&rclk=1",https://ilumnadental.com/,Google Maps
"Bangalore Dental Specialists Dental Clinic, Dentist HSR Layout - Single Visit Root Canal & Dental Implant Center",,+91 89567 81555,"No 1656, Building, 27th Main Rd, above Ramraj",4.9,429,Unknown,"https://www.google.com/maps/place/Bangalore+Dental+Specialists+Dental+Clinic,+Dentist+HSR+Layout+-+Single+Visit+Root+Canal+%26+Dental+Implant+Center/data=!4m7!3m6!1s0x3bae15271d87852d:0x2926a1c76b334e79!8m2!3d12.9110094!4d77.65161!16s%2Fg%2F11ts3ss_g9!19sChIJLYWHHScVrjsReU4za8ehJik?authuser=0&hl=en&rclk=1",https://www.bangaloredentalspecialists.com/?utm_source=gmb&utm_medium=website-link,Google Maps
Chisel Dental Clinic,,+91 99721 17009,"18, 1st Main Rd, opposite Ambur Biryani, Near Wipro Park",4.7,3069,Unknown,https://www.google.com/maps/place/Chisel+Dental+Clinic/data=!4m7!3m6!1s0x3bae14426433b22d:0xd2bbeb8d0bf81bc6!8m2!3d12.9276663!4d77.6371667!16s%2Fg%2F11b7rxk_c1!19sChIJLbIzZEIUrjsRxhv4C43ru9I?authuser=0&hl=en&rclk=1,https://www.chiseldental.co.in/,Google Maps
Dental Solutions,,+91 63643 12444,"1st Floor, 498, 15th Cross Road",4.8,1805,Unknown,https://www.google.com/maps/place/Dental+Solutions/data=!4m7!3m6!1s0x3bae174136a25e21:0xec4afe8090b5603d!8m2!3d12.979839!4d77.6355318!16s%2Fg%2F11l00n9ypj!19sChIJIV6iNkEXrjsRPWC1kID-Suw?authuser=0&hl=en&rclk=1,https://www.dentalsolutionsclinic.com/,Google Maps
Smilecure multispeciality Dental clinic,,+91 99162 06200,"VR CHAMBERS, Kadubeesanahalli Bridge, opp. to Indiqube and, next to The Rajas resturant",4.7,554,Unknown,https://www.google.com/maps/place/Smilecure+multispeciality+Dental+clinic/data=!4m7!3m6!1s0x3bae13b26da858a3:0x19549d26469e2eb0!8m2!3d12.9397966!4d77.6951574!16s%2Fg%2F1261y_qbr!19sChIJo1iobbITrjsRsC6eRiadVBk?authuser=0&hl=en&rclk=1,https://www.smilecure.in/,Google Maps
Bangalore Charitable Dental Center,,+91 88846 13795,"39/1 7th Main Road, Appareddy Palya Rd",4.9,391,Unknown,https://www.google.com/maps/place/Bangalore+Charitable+Dental+Center/data=!4m7!3m6!1s0x3bae171c3b702a05:0xab72cf44a99660ab!8m2!3d12.9722857!4d77.6371743!16s%2Fg%2F11p55zsvcq!19sChIJBSpwOxwXrjsRq2CWqUTPcqs?authuser=0&hl=en&rclk=1,https://www.bangalorecharitabledentalhospital.org/,Google Maps
Amaya Dental Clinic - Dental Clinic in Vasant Nagar,,+91 95918 95500,"1st Floor, 8/1, Palace Cross Rd",4.9,276,Unknown,https://www.google.com/maps/place/Amaya+Dental+Clinic+-+Dental+Clinic+in+Vasant+Nagar/data=!4m7!3m6!1s0x3bae17f5ff2652c3:0xfd432ea16e1d6831!8m2!3d12.9937365!4d77.5893537!16s%2Fg%2F11pdr93ws5!19sChIJw1Im__UXrjsRMWgdbqEuQ_0?authuser=0&hl=en&rclk=1,https://www.amayadental.in/,Google Maps
LITTLE PEARLS Dental Clinic,,+91 98807 02525,"1st Floor, 1st, Main Road, 46, 7th Cross Rd",4.9,1498,Unknown,https://www.google.com/maps/place/LITTLE+PEARLS+Dental+Clinic/data=!4m7!3m6!1s0x3bae15037181efed:0x22ccaf6b79733524!8m2!3d12.9133861!4d77.6031254!16s%2Fg%2F11c45v80qy!19sChIJ7e-BcQMVrjsRJDVzeWuvzCI?authuser=0&hl=en&rclk=1,http://littlepearlsdentalcare.com/,Google Maps
"Partha Dental Clinic - Jayanagar, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants",,+91 81231 65668,"beside Ragigudda Arch, near Bus Stop",4.6,792,Unknown,"https://www.google.com/maps/place/Partha+Dental+Clinic+-+Jayanagar,+Bangalore+%7C+Invisalign+Provider+%7C+Braces,+Root+Canal+%26+Dental+Implants/data=!4m7!3m6!1s0x3bae15a6350bbe39:0xb44917e947118009!8m2!3d12.9167034!4d77.5934347!16s%2Fg%2F11b5rbzczp!19sChIJOb4LNaYVrjsRCYARR-kXSbQ?authuser=0&hl=en&rclk=1",https://parthadental.com/dental-skin-hair-clinic-jayanagar/?utm_source=google&utm_medium=gmb&utm_campaign=jayanagar,Google Maps
