Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
UBUNTU RETREAT,,+91 97454 34444,,4.8,190,Unknown,https://www.google.com/maps/place/UBUNTU+RETREAT/data=!4m10!3m9!1s0x3ba8bd261a3e59eb:0xe3b9af7bbbe9af2a!5m2!4m1!1i2!8m2!3d11.4065312!4d76.6847082!16s%2Fg%2F11thfrlv_c!19sChIJ61k-Gia9qDsRKq_pu3uvueM?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Swarnabhoomi Resorts Bangalore,,+91 63641 57878,,4.5,153,Unknown,https://www.google.com/maps/place/Swarnabhoomi+Resorts+Bangalore/data=!4m10!3m9!1s0x3bae47086e1eccdb:0x186f782657d0ca94!5m2!4m1!1i2!8m2!3d12.8481626!4d77.6927813!16s%2Fg%2F11g1rm1jvp!19sChIJ28webghHrjsRlMrQVyZ4bxg?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg Relax Home (ಕೂರ್ಗ್ ರಿಲಾಕ್ಸ್ ಹೋಂ),,+91 94497 59029,,4.5,251,Unknown,https://www.google.com/maps/place/Coorg+Relax+Home+%28%E0%B2%95%E0%B3%82%E0%B2%B0%E0%B3%8D%E0%B2%97%E0%B3%8D+%E0%B2%B0%E0%B2%BF%E0%B2%B2%E0%B2%BE%E0%B2%95%E0%B3%8D%E0%B2%B8%E0%B3%8D+%E0%B2%B9%E0%B3%8B%E0%B2%82%29/data=!4m10!3m9!1s0x3ba5aabad7cee171:0x3971b0689bc84831!5m2!4m1!1i2!8m2!3d12.4112777!4d75.7283667!16s%2Fg%2F11dzdh3d1s!19sChIJceHO17qqpTsRMUjIm2iwcTk?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Creekside Cabin,,+91 94484 22512,,4.6,264,Unknown,https://www.google.com/maps/place/Creekside+Cabin/data=!4m10!3m9!1s0x3ba4ffdadd8750c1:0xdbcf61b3f2bfb5b9!5m2!4m1!1i2!8m2!3d12.452937!4d75.7029647!16s%2Fg%2F11f3cy913g!19sChIJwVCH3dr_pDsRubW_8rNhz9s?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Kamadhenu Residency Home stay. Madikeri Coorg,,+91 70191 67892,,4.8,102,Unknown,https://www.google.com/maps/place/Kamadhenu+Residency+Home+stay.+Madikeri+Coorg/data=!4m10!3m9!1s0x3ba5abbfd2c62dc9:0x8b1eac0c87167468!5m2!4m1!1i2!8m2!3d12.4191974!4d75.7386211!16s%2Fg%2F11t1f5tvhr!19sChIJyS3G0r-rpTsRaHQWhwysHos?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Notting Hill,,+91 99400 52900,,4.6,174,Unknown,https://www.google.com/maps/place/Notting+Hill/data=!4m10!3m9!1s0x3ba5aaa13e979f71:0x35364a212b23714!5m2!4m1!1i2!8m2!3d12.4189259!4d75.7323666!16s%2Fg%2F11cnbx2gx0!19sChIJcZ-XPqGqpTsRFDeyEqJkUwM?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bee hive homestay,,+91 95358 99537,,4.7,138,Unknown,https://www.google.com/maps/place/Bee+hive+homestay/data=!4m10!3m9!1s0x3ba5000f85c2e7cd:0x83f3797a263ee227!5m2!4m1!1i2!8m2!3d12.4313618!4d75.7262712!16s%2Fg%2F11dxkw8lz_!19sChIJzefChQ8ApTsRJ-I-Jnp584M?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Roy's Castle Coorg Homestay,,+91 94486 47198,,4.6,175,Unknown,https://www.google.com/maps/place/Roy%27s+Castle+Coorg+Homestay/data=!4m10!3m9!1s0x3ba50124f1d40db5:0x7b12ca25182f5fb9!5m2!4m1!1i2!8m2!3d12.442265!4d75.7568715!16s%2Fg%2F11fqsw03zy!19sChIJtQ3U8SQBpTsRuV8vGCXKEns?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Dream house home stay,,+91 94838 74701,,4.6,175,Unknown,https://www.google.com/maps/place/Dream+house+home+stay/data=!4m10!3m9!1s0x3ba50076e76a1621:0x1b120c6ca34146d8!5m2!4m1!1i2!8m2!3d12.4112997!4d75.7223248!16s%2Fg%2F11d_71001g!19sChIJIRZq53YApTsR2EZBo2wMEhs?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Chirpy Haven,,+91 98801 46792,,4.7,166,Unknown,https://www.google.com/maps/place/Chirpy+Haven/data=!4m10!3m9!1s0x3ba5aa84d8e3808f:0xc5e49ef02fef0216!5m2!4m1!1i2!8m2!3d12.415588!4d75.7497069!16s%2Fg%2F11bvv5g6tq!19sChIJj4Dj2ISqpTsRFgLvL_Ce5MU?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Karkera Comforts Coorg,,+91 98341 43351,,4.7,103,Unknown,https://www.google.com/maps/place/Karkera+Comforts+Coorg/data=!4m10!3m9!1s0x3ba5000efc608217:0x6e1661087cd3c234!5m2!4m1!1i2!8m2!3d12.4305357!4d75.728726!16s%2Fg%2F11f4wt9v06!19sChIJF4Jg_A4ApTsRNMLTfAhhFm4?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Eshwari inn Homestay,,+91 94483 25743,,4.7,228,Unknown,https://www.google.com/maps/place/Eshwari+inn+Homestay/data=!4m10!3m9!1s0x3ba50075f66c666d:0x416003088dfede69!5m2!4m1!1i2!8m2!3d12.4236148!4d75.7419405!16s%2Fg%2F11bx55ktmy!19sChIJbWZs9nUApTsRad7-jQgDYEE?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Wayanad Home Stay,,+91 79758 40830,,4.7,108,Unknown,https://www.google.com/maps/place/Wayanad+Home+Stay/data=!4m10!3m9!1s0x3ba60b59cbed05cd:0x93598e64d398839e!5m2!4m1!1i2!8m2!3d11.6781041!4d76.0868347!16s%2Fg%2F11qshlkm54!19sChIJzQXty1kLpjsRnoOY02SOWZM?authuser=0&hl=en&rclk=1,73,Hot,none,no comparable tokens in name,Google Maps
Hillway Resort,,+91 70252 41068,,4.6,116,Unknown,https://www.google.com/maps/place/Hillway+Resort/data=!4m10!3m9!1s0x3ba6738809249011:0xea4181c52eb2a77e!5m2!4m1!1i2!8m2!3d11.5485916!4d76.0465165!16s%2Fg%2F11ybtjdty2!19sChIJEZAkCYhzpjsRfqeyLsWBQeo?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Florence ooty,,+91 92073 79101,,4.5,279,Unknown,https://www.google.com/maps/place/Florence+ooty/data=!4m7!3m6!1s0x3ba897d656efa3c7:0xbbb0b9d44c95c8e1!8m2!3d11.3784319!4d76.6564747!16s%2Fg%2F11kj2brsy7!19sChIJx6PvVtaXqDsR4ciVTNS5sLs?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
A Ooty Honey Huts,,+91 85085 99799,"Kandal Bridle Road, 88H Zero Cross, Arani House, Kotagiri Rd, near Botanical Garden",4.7,3838,Unknown,https://www.google.com/maps/place/A+Ooty+Honey+Huts/data=!4m7!3m6!1s0x3ba8bdee0cdd5ce5:0xa10b3b4bc9383a32!8m2!3d11.4145885!4d76.7168899!16s%2Fg%2F11c5b4nvlv!19sChIJ5VzdDO69qDsRMjo4yUs7C6E?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg Treehouse,,+91 73383 70669,,4.3,383,Unknown,https://www.google.com/maps/place/Coorg+Treehouse/data=!4m10!3m9!1s0x3ba4ffac2cd811ab:0x82b8cfed84a290ca!5m2!4m1!1i2!8m2!3d12.459637!4d75.6759814!16s%2Fg%2F11f4lktp67!19sChIJqxHYLKz_pDsRypCihO3PuII?authuser=0&hl=en&rclk=1,68,Warm,none,search failed: ConnectError: ConnectError('error sending request for url (https://www.startpage.com/) > client error (Connect) > tcp connect error > Connection refused (os error 111)') (checked 2x),Google Maps
Mountain View Homestay,,+91 96114 77144,,4.1,105,Unknown,https://www.google.com/maps/place/Mountain+View+Homestay/data=!4m10!3m9!1s0x3ba5aa9c01225d25:0xf0cf1b4397dd6d1d!5m2!4m1!1i2!8m2!3d12.4048228!4d75.7329085!16s%2Fg%2F11cjj49rv6!19sChIJJV0iAZyqpTsRHW3dl0Mbz_A?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Chuppi Homestay,,+91 98450 89121,,4.2,208,Unknown,https://www.google.com/maps/place/Chuppi+Homestay/data=!4m10!3m9!1s0x3ba5000e169f144f:0x66ffc36cc59de1e9!5m2!4m1!1i2!8m2!3d12.4330577!4d75.7301336!16s%2Fg%2F11c58stgfq!19sChIJTxSfFg4ApTsR6eGdxWzD_2Y?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg Tent house home stay,,+91 94484 06406,,4.4,153,Unknown,https://www.google.com/maps/place/Coorg+Tent+house+home+stay/data=!4m10!3m9!1s0x3ba500f9feeac491:0x589678ddc5405283!5m2!4m1!1i2!8m2!3d12.4491869!4d75.758881!16s%2Fg%2F11c76m5q5t!19sChIJkcTq_vkApTsRg1JAxd14llg?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Maithili Home Comforts,,+91 94484 22321,,4.3,119,Unknown,https://www.google.com/maps/place/Maithili+Home+Comforts/data=!4m10!3m9!1s0x3ba5000f16077089:0xdd7097b04ede0c84!5m2!4m1!1i2!8m2!3d12.4297219!4d75.7273817!16s%2Fg%2F11b6gryywc!19sChIJiXAHFg8ApTsRhAzeTrCXcN0?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Daswal B&B Hotel,,+91 82722 21743,,4.0,174,Unknown,https://www.google.com/maps/place/Daswal+B%26B+Hotel/data=!4m10!3m9!1s0x3ba500750269ee59:0x54d8e7d0b35079ed!5m2!4m1!1i2!8m2!3d12.4260364!4d75.7395758!16s%2Fg%2F11c0qvnq94!19sChIJWe5pAnUApTsR7XlQs9Dn2FQ?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Manjushreehomestaycoorg,,+91 91130 45450,,4.0,122,Unknown,https://www.google.com/maps/place/Manjushreehomestaycoorg/data=!4m10!3m9!1s0x3ba5aaa33cff7c3b:0xa271634fa1ea98c!5m2!4m1!1i2!8m2!3d12.4101875!4d75.7326875!16s%2Fg%2F11f04ntpvb!19sChIJO3z_PKOqpTsRjKke-jQWJwo?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Mountain Pond Resort,,+91 75107 87272,,4.4,398,Unknown,https://www.google.com/maps/place/Mountain+Pond+Resort/data=!4m10!3m9!1s0x3ba5e19dac4e3c4b:0x83e3545ba2717c07!5m2!4m1!1i2!8m2!3d11.702199!4d76.0219405!16s%2Fg%2F11tjl_ncgb!19sChIJSzxOrJ3hpTsRB3xxoltU44M?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Snowdrops Ooty,,+91 85258 85148,Unnamed Road,4.4,247,Unknown,https://www.google.com/maps/place/Snowdrops+Ooty/data=!4m7!3m6!1s0x3ba8963c59ff7103:0xf590f5c35466d028!8m2!3d11.3888469!4d76.7079183!16s%2Fg%2F11gbxfw890!19sChIJA3H_WTyWqDsRKNBmVMP1kPU?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Cherry Blossom,,+91 90801 30180,,4.1,232,Unknown,https://www.google.com/maps/place/Cherry+Blossom/data=!4m10!3m9!1s0x3ba8bd5401a35dfd:0xb5629547e29d7dc8!5m2!4m1!1i2!8m2!3d11.4108308!4d76.6978674!16s%2Fg%2F11f5q7x0v4!19sChIJ_V2jAVS9qDsRyH2d4keVYrU?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Greenyards Cottages,,+91 89033 31339,,4.0,607,Unknown,https://www.google.com/maps/place/Greenyards+Cottages/data=!4m10!3m9!1s0x3ba8bdedc5a14209:0x96202d7bcaa0d3b8!5m2!4m1!1i2!8m2!3d11.4148613!4d76.7156813!16s%2Fg%2F11c5099pqy!19sChIJCUKhxe29qDsRuNOgynstIJY?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
AURORA LIGHT RESIDENCY,,+91 94430 42553,,4.0,406,Unknown,https://www.google.com/maps/place/AURORA+LIGHT+RESIDENCY/data=!4m10!3m9!1s0x3ba8bdf57868e43f:0x5bd6cfc0eff14a9f!5m2!4m1!1i2!8m2!3d11.4022976!4d76.7133636!16s%2Fg%2F11b61rx7bk!19sChIJP-RoePW9qDsRn0rx78DP1ls?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
