Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
Mango Mist Resorts,,+91 90600 90777,,4.6,64845,Unknown,https://www.google.com/maps/place/Mango+Mist+Resorts/data=!4m10!3m9!1s0x3bae6962fb4cf27f:0x6c74f546ddbaf7c0!5m2!4m1!1i2!8m2!3d12.7847989!4d77.6216418!16s%2Fg%2F11bbtnl34m!19sChIJf_JM-2JprjsRwPe63Ub1dGw?authuser=0&hl=en&rclk=1,http://www.mangomist.com/,Google Maps
Nirantara Resort - Best Resort in Bengaluru | Luxury Nature and Adventure Retreat,,+91 83109 44102,,4.2,948,Unknown,https://www.google.com/maps/place/Nirantara+Resort+-+Best+Resort+in+Bengaluru+%7C+Luxury+Nature+and+Adventure+Retreat/data=!4m10!3m9!1s0x3bae6b729744fb9f:0xd991d5990bd774e9!5m2!4m1!1i2!8m2!3d12.8258251!4d77.6491803!16s%2Fg%2F11w3ckvcl0!19sChIJn_tEl3JrrjsR6XTXC5nVkdk?authuser=0&hl=en&rclk=1,https://www.nirantararesort.com/,Google Maps
Wild Valley Adventure Retreat | Resort in Bangalore | Resort in Kanakapura Road,,+91 75511 55113,,4.2,8851,Unknown,https://www.google.com/maps/place/Wild+Valley+Adventure+Retreat+%7C+Resort+in+Bangalore+%7C+Resort+in+Kanakapura+Road/data=!4m10!3m9!1s0x3bae4349c092eea1:0x68ccab215f95f84a!5m2!4m1!1i2!8m2!3d12.7517162!4d77.5218775!16s%2Fg%2F11fphth72f!19sChIJoe6SwElDrjsRSviVXyGrzGg?authuser=0&hl=en&rclk=1,https://www.wildvalley.in/,Google Maps
Rd's Nature Retreat,,+91 99806 07744,,4.3,20094,Unknown,https://www.google.com/maps/place/Rd%27s+Nature+Retreat/data=!4m10!3m9!1s0x3bae6819bf523705:0x1b3b1d53f18778f3!5m2!4m1!1i2!8m2!3d12.713773!4d77.5715243!16s%2Fg%2F1yfj6x_s3!19sChIJBTdSvxlorjsR83iH8VMdOxs?authuser=0&hl=en&rclk=1,https://rdsnatureretreat.com/,Google Maps
Veerdency Resort,,+91 76760 57436,,3.9,11303,Unknown,https://www.google.com/maps/place/Veerdency+Resort/data=!4m10!3m9!1s0x3bae1d4b9e3c087d:0xafe3786dc3fbed1c!5m2!4m1!1i2!8m2!3d13.2238362!4d77.6909378!16s%2Fg%2F11fkm7chx_!19sChIJfQg8nksdrjsRHO37w214468?authuser=0&hl=en&rclk=1,http://veerdencyresort.com/,Google Maps
Area 83 Adventure Resort,,+91 88846 08383,,4.2,25094,Unknown,https://www.google.com/maps/place/Area+83+Adventure+Resort/data=!4m10!3m9!1s0x3bae6a81ead447db:0x23fb7f5dcd7b2e5c!5m2!4m1!1i2!8m2!3d12.833934!4d77.563855!16s%2Fg%2F11fxf09wc6!19sChIJ20fU6oFqrjsRXC57zV1_-yM?authuser=0&hl=en&rclk=1,https://www.area83.in/,Google Maps
Radiant Resort,,+91 80959 88877,,4.0,4145,Unknown,https://www.google.com/maps/place/Radiant+Resort/data=!4m10!3m9!1s0x3baef97510555555:0x9d59a83e59e2d57f!5m2!4m1!1i2!8m2!3d12.8414771!4d77.5911224!16s%2Fg%2F1tdlfr01!19sChIJVVVVEHX5rjsRf9XiWT6oWZ0?authuser=0&hl=en&rclk=1,http://www.radiantresort.com/,Google Maps
Our Native Village - Eco & Pet Friendly Resort,,+91 63641 23461,,3.8,2169,Unknown,https://www.google.com/maps/place/Our+Native+Village+-+Eco+%26+Pet+Friendly+Resort/data=!4m10!3m9!1s0x3bae26d33c58a865:0xf96459f0d1b8a9d5!5m2!4m1!1i2!8m2!3d13.1797473!4d77.4693382!16s%2Fg%2F1tfb9lh3!19sChIJZahYPNMmrjsR1am40fBZZPk?authuser=0&hl=en&rclk=1,https://staahmax.staah.net/be/indexpackdetail?propertyId=MTU1MQ==&groupId=MTU1Mw==&_ga=2.116128902.1871574586.1682752664-582789918.1635254292,Google Maps
RR RETREAT,,+91 80 6933 9898,,4.8,17453,Unknown,https://www.google.com/maps/place/RR+RETREAT/data=!4m10!3m9!1s0x3bae2f491a0d1c69:0x6277d48895e45613!5m2!4m1!1i2!8m2!3d13.0766909!4d77.3421778!16s%2Fg%2F11vbswh3r9!19sChIJaRwNGkkvrjsRE1bklYjUd2I?authuser=0&hl=en&rclk=1,https://rrretreat.in/,Google Maps
Guhantara,,+91 97409 98981,,3.7,21364,Unknown,https://www.google.com/maps/place/Guhantara/data=!4m10!3m9!1s0x3bae414191b80f05:0xe422eb2508eb0a6a!5m2!4m1!1i2!8m2!3d12.7992841!4d77.4912281!16s%2Fg%2F1tt0pkts!19sChIJBQ-4kUFBrjsRagrrCCXrIuQ?authuser=0&hl=en&rclk=1,http://www.guhantara.com/,Google Maps
