Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
Bombay Borough,,+971 54 995 8296,"Bombay Borough, Gate Village, Building 3 - towards DIFC Parking - opposite Gate District 2 Valet Parking Desk at Gate",4.8,9759,Unknown,https://www.google.com/maps/place/Bombay+Borough/data=!4m7!3m6!1s0x3e5f43fb0778138f:0xec413d37c36bb02e!8m2!3d25.2139289!4d55.2823472!16s%2Fg%2F11j258_p4z!19sChIJjxN4B_tDXz4RLrBrwzc9Qew?authuser=0&hl=en&rclk=1,https://www.bombayborough.com/dubai.html,Google Maps
Icarus Restaurant Dubai,,+971 58 280 7801,"Souk Al Bahar, Level 2",4.9,654,Unknown,https://www.google.com/maps/place/Icarus+Restaurant+Dubai/data=!4m7!3m6!1s0x3e5f69c47fa375a1:0x32f4aacf61284314!8m2!3d25.1946394!4d55.2765141!16s%2Fg%2F11v0y_kpg6!19sChIJoXWjf8RpXz4RFEMoYc-q9DI?authuser=0&hl=en&rclk=1,https://www.sevenrooms.com/explore/icarus/reservations/create/search,Google Maps
Jamavar Dubai,,+971 4 553 7852,Address Residences Opera District,4.6,456,Unknown,https://www.google.com/maps/place/Jamavar+Dubai/data=!4m7!3m6!1s0x3e5f6976eed0aff7:0xe7384111e751b79d!8m2!3d25.1969915!4d55.2714807!16s%2Fg%2F11l5qr6z16!19sChIJ96_Q7nZpXz4RnbdR5xFBOOc?authuser=0&hl=en&rclk=1,https://jamavarrestaurants.com/dubai/,Google Maps
Romeo Lane Dubai,,+971 50 307 6961,Pullman Hotel Dubai - Floor 2 - Marasi Dr,4.9,645,Unknown,https://www.google.com/maps/place/Romeo+Lane+Dubai/data=!4m7!3m6!1s0x3e5f69c489e7998f:0xc1ece1ea3f107549!8m2!3d25.1868805!4d55.2716469!16s%2Fg%2F11x1gctqt9!19sChIJj5nnicRpXz4RSXUQP-rh7ME?authuser=0&hl=en&rclk=1,https://romeolanedubai.com/,Google Maps
Maison De Curry | Restaurant with the best views of Burj Khalifa & Dubai Fountains,,+971 52 406 6183,Souk Al Bahar - Sheikh Mohammed bin Rashid Blvd,4.8,5724,Unknown,https://www.google.com/maps/place/Maison+De+Curry+%7C+Restaurant+with+the+best+views+of+Burj+Khalifa+%26+Dubai+Fountains/data=!4m7!3m6!1s0x3e5f696989d96d1f:0xe1c1114ac795be0e!8m2!3d25.1950384!4d55.2761253!16s%2Fg%2F11sb6s5vz5!19sChIJH23ZiWlpXz4RDr6Vx0oRweE?authuser=0&hl=en&rclk=1,https://maisondecurry.com/,Google Maps
Table Otto - Dubai Mall,,+971 4 266 8169,"Fashion Avenue, Dubai Mall",4.8,1381,Unknown,https://www.google.com/maps/place/Table+Otto+-+Dubai+Mall/data=!4m7!3m6!1s0x3e5f4372b50d5d41:0x922560be831b4aec!8m2!3d25.1978673!4d55.2756363!16s%2Fg%2F11rqxqj808!19sChIJQV0NtXJDXz4R7Eobg75gJZI?authuser=0&hl=en&rclk=1,https://tableotto.ae/,Google Maps
Krasota Dubai Restaurant,,+971 52 253 3290,The Address Downtown - G Floor Sheikh Mohammed bin Rashid Blvd,4.9,1671,Unknown,https://www.google.com/maps/place/Krasota+Dubai+Restaurant/data=!4m7!3m6!1s0x3e5f69fc79e79337:0x88479c965c0e4f24!8m2!3d25.1937462!4d55.2790508!16s%2Fg%2F11shnpk_kk!19sChIJN5PnefxpXz4RJE8OXJacR4g?authuser=0&hl=en&rclk=1,https://bit.ly/krasota_reservation,Google Maps
FRNDS Restaurant,,+971 4 564 2399,Dubai Dubai Mall - Ground Floor,4.7,1284,Unknown,https://www.google.com/maps/place/FRNDS+Restaurant/data=!4m7!3m6!1s0x3e5f69eaa173b17f:0x34f04cb2c2e5e81b!8m2!3d25.1957275!4d55.2827555!16s%2Fg%2F11t9jj1wvj!19sChIJf7FzoeppXz4RG-jlwrJM8DQ?authuser=0&hl=en&rclk=1,https://frndsdubai.com/,Google Maps
Alba Restaurant Dubai,,+971 58 147 9888,Dubai Opera Plaza - Sheikh Mohammed bin Rashid Blvd,4.8,474,Unknown,https://www.google.com/maps/place/Alba+Restaurant+Dubai/data=!4m7!3m6!1s0x3e5f69a2257d1a53:0xcfd1c25ce7778a99!8m2!3d25.1959214!4d55.2704641!16s%2Fg%2F11vr501zym!19sChIJUxp9JaJpXz4RmYp351zC0c8?authuser=0&hl=en&rclk=1,https://alba.metafoodiesgroup.com/,Google Maps
CÉ LA VI,,+971 4 582 6111,"Tower 2 - Level 54, Address Sky View Hotel - Sheikh Mohammed bin Rashid Blvd",4.5,8070,Unknown,https://www.google.com/maps/place/C%C3%89+LA+VI/data=!4m7!3m6!1s0x3e5f4332316a067d:0x8191c3616de13503!8m2!3d25.202026!4d55.2706755!16s%2Fg%2F11fp3j5b40!19sChIJfQZqMTJDXz4RAzXhbWHDkYE?authuser=0&hl=en&rclk=1,https://dxb.celavi.com/,Google Maps
The Banc Dubai - Restaurant & Bar,,+971 4 566 2262,Renaissance Hotel - 188 Marasi Dr,5.0,3934,Unknown,https://www.google.com/maps/place/The+Banc+Dubai+-+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3e5f69c42b294891:0x9b7616eb5f87dcc2!8m2!3d25.1825648!4d55.2741516!16s%2Fg%2F11x10prpc0!19sChIJkUgpK8RpXz4RwtyHX-sWdps?authuser=0&hl=en&rclk=1,https://thebanc.ae/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,Google Maps
Girl & the Goose - Restaurante Centroamericano,,+971 4 575 3760,Anantara Downtown Hotel,5.0,1618,Unknown,https://www.google.com/maps/place/Girl+%26+the+Goose+-+Restaurante+Centroamericano/data=!4m7!3m6!1s0x3e5f15ed047a0fc3:0x8b60a6c1c80ad84e!8m2!3d25.18614!4d55.2637638!16s%2Fg%2F11rylk_7q2!19sChIJww96BO0VXz4RTtgKyMGmYIs?authuser=0&hl=en&rclk=1,https://girlandthegoose.com/,Google Maps
Jovee - Japanese & European Restaurant,,+971 50 786 8343,"souk al bahar , Level 2",4.8,2934,Unknown,https://www.google.com/maps/place/Jovee+-+Japanese+%26+European+Restaurant/data=!4m7!3m6!1s0x3e5f435172c1d6b1:0xd804b508edc752da!8m2!3d25.1951779!4d55.2763581!16s%2Fg%2F11sgbfgm09!19sChIJsdbBclFDXz4R2lLH7Qi1BNg?authuser=0&hl=en&rclk=1,https://www.joveedubai.com/,Google Maps
