Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Avenues,,+27 21 887 1843,,4.8,114,Unknown,https://www.google.com/maps/place/Avenues/data=!4m10!3m9!1s0x1dcdb244bdd8b479:0xe58f63f5f6404e7!5m2!4m1!1i2!8m2!3d-33.9381412!4d18.8683464!16s%2Fg%2F1tfm3r0n!19sChIJebTYvUSyzR0R5wRkXz_2WA4?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
"The Oceanic, Durban",,+27 31 335 1800,,4.0,713,Unknown,"https://www.google.com/maps/place/The+Oceanic,+Durban/data=!4m10!3m9!1s0x1ef7a82cd69b67ad:0xaa92c33b589fd87e!5m2!4m1!1i2!8m2!3d-29.843521!4d31.0335771!16s%2Fg%2F1pzpw94mz!19sChIJrWeb1iyo9x4RftifWDvDkqo?authuser=0&hl=en&rclk=1",68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Cingaki Hotel,,+254 742 037789,,4.0,262,Unknown,https://www.google.com/maps/place/Cingaki+Hotel/data=!4m10!3m9!1s0x184072ef56e422b9:0x669e86d690852ba!5m2!4m1!1i2!8m2!3d-4.0065357!4d39.6255401!16s%2Fg%2F11c5t3f_kw!19sChIJuSLkVu9yQBgRulIIaW3oaQY?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Kahama Beach Hotel,,+254 20 3507205,,4.2,140,Unknown,https://www.google.com/maps/place/Kahama+Beach+Hotel/data=!4m10!3m9!1s0x18400f3275454c5f:0x448ef7aba7c32ac7!5m2!4m1!1i2!8m2!3d-3.9878578!4d39.735887!16s%2Fg%2F11jgxcyxl9!19sChIJX0xFdTIPQBgRxyrDp6v3jkQ?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Mali Guest House,,+254 725 316697,,4.0,272,Unknown,https://www.google.com/maps/place/Mali+Guest+House/data=!4m10!3m9!1s0x18400d0109a28b35:0x2e1a29a03f80fc3a!5m2!4m1!1i2!8m2!3d-4.0247563!4d39.7012357!16s%2Fg%2F11fmdws1ng!19sChIJNYuiCQENQBgROvyAP6ApGi4?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Pine Breeze Holiday Resort,,+254 722 996465,,4.0,720,Unknown,https://www.google.com/maps/place/Pine+Breeze+Holiday+Resort/data=!4m10!3m9!1s0x18400df777223133:0x4770252d4f8ff95d!5m2!4m1!1i2!8m2!3d-4.022258!4d39.723121!16s%2Fg%2F12vr9vf1_!19sChIJMzEid_cNQBgRXfmPTy0lcEc?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Mtwapa Country Resort,,+254 712 689272,,4.0,435,Unknown,https://www.google.com/maps/place/Mtwapa+Country+Resort/data=!4m10!3m9!1s0x1840096598f85725:0x6ec693b35a9f5d63!5m2!4m1!1i2!8m2!3d-3.9512709!4d39.764334!16s%2Fg%2F1pzw2d48p!19sChIJJVf4mGUJQBgRY12fWrOTxm4?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Platinum Hotel,,+254 722 605801,,4.0,133,Unknown,https://www.google.com/maps/place/Platinum+Hotel/data=!4m10!3m9!1s0x18400e990c1a0f89:0xec86c51aaff058ab!5m2!4m1!1i2!8m2!3d-3.9779452!4d39.7417024!16s%2Fg%2F11d_2lfdqs!19sChIJiQ8aDJkOQBgRq1jwrxrFhuw?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
"Hermanus Guest Rooms, Hermanus",,+27 72 441 2666,,4.6,73,Unknown,"https://www.google.com/maps/place/Hermanus+Guest+Rooms,+Hermanus/data=!4m10!3m9!1s0x1dce0babf9b61a9d:0xd04c581e0ead5ff6!5m2!4m1!1i2!8m2!3d-34.4185469!4d19.228946!16s%2Fg%2F11jrvnnh43!19sChIJnRq2-asLzh0R9l-tDh5YTNA?authuser=0&hl=en&rclk=1",63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
White Pearl,,+27 82 828 0629,,5.0,33,Unknown,https://www.google.com/maps/place/White+Pearl/data=!4m10!3m9!1s0x1dce0b0c46e3ffff:0x3d80881772f5965!5m2!4m1!1i2!8m2!3d-34.4277863!4d19.2276459!16s%2Fg%2F11t424038z!19sChIJ___jRgwLzh0RZVkvd4EI2AM?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
