Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
Vistaero Furnished Apartments,,+27 116434954,,0.0,0,Unknown,,https://daisy-furnished-basic-apartments.johannesburgbesthotels.com/,OpenStreetMap
Strathavon Bed and Breakfast,,+27114444205,34 Dion Close,0.0,0,Unknown,,https://strathavon-bed-and-breakfast.johannesburgsouthafricahotels.com/,OpenStreetMap
Sandton Executive Suites - Hydro Park,,+27117840777,86 Grayston Drive Sandton,0.0,0,Unknown,,https://sandton-executive-suites-hydro-park-johannesburg.johannesburgcityhotels.com/en/,OpenStreetMap
Breena BnB,,+27 74 198 2097,29 Breena Street,0.0,0,Unknown,,https://www.breenabnb.co.za/,OpenStreetMap
Johannesburg Marriott Hotel Melrose Arch,,+27 10 495 4200,,4.6,1465,Unknown,https://www.google.com/maps/place/Johannesburg+Marriott+Hotel+Melrose+Arch/data=!4m10!3m9!1s0x1e950de078d3d86d:0x39110a7f47b5ec38!5m2!4m1!1i2!8m2!3d-26.1314988!4d28.0672341!16s%2Fg%2F11j4d228c9!19sChIJbdjTeOANlR4ROOy1R38KETk?authuser=0&hl=en&rclk=1,https://www.marriott.com/en-us/hotels/jnbmc-johannesburg-marriott-hotel-melrose-arch/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Google Maps
"Four Seasons Hotel The Westcliff, Johannesburg",,+27 11 481 6000,,4.6,4554,Unknown,"https://www.google.com/maps/place/Four+Seasons+Hotel+The+Westcliff,+Johannesburg/data=!4m10!3m9!1s0x1e950c6fad42f5ff:0xad5b2a20113e3708!5m2!4m1!1i2!8m2!3d-26.1700269!4d28.0323992!16s%2Fg%2F11s38hkz1v!19sChIJ__VCrW8MlR4RCDc-ESAqW60?authuser=0&hl=en&rclk=1",https://www.fourseasons.com/johannesburg/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-jbg-hre-mid-seo-na&utm_content=na-na&utm_term=na,Google Maps
Holiday Inn Johannesburg - Rosebank by IHG,,+27 11 218 6000,,4.4,1499,Unknown,https://www.google.com/maps/place/Holiday+Inn+Johannesburg+-+Rosebank+by+IHG/data=!4m10!3m9!1s0x1e950cf2bd9ce9eb:0x31e29317139327cc!5m2!4m1!1i2!8m2!3d-26.1444059!4d28.0435516!16s%2Fg%2F1tkzjt5_!19sChIJ6-mcvfIMlR4RzCeTExeT4jE?authuser=0&hl=en&rclk=1,https://www.ihg.com/holidayinn/hotels/gb/en/johannesburg/jnbhi/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-ZA-_-JNBHI,Google Maps
"The Houghton Hotel, An SLH Hotel",,+27 11 032 5500,,4.6,3728,Unknown,"https://www.google.com/maps/place/The+Houghton+Hotel,+An+SLH+Hotel/data=!4m10!3m9!1s0x1e950db6e7686899:0xcc06a54a28e7b6b8!5m2!4m1!1i2!8m2!3d-26.1667762!4d28.074236!16s%2Fg%2F11b7ll_bf8!19sChIJmWho57YNlR4RuLbnKEqlBsw?authuser=0&hl=en&rclk=1",http://thehoughtonhotel.com/,Google Maps
Gold Reef City Hotel,,+27 11 248 5152,,4.4,568,Unknown,https://www.google.com/maps/place/Gold+Reef+City+Hotel/data=!4m10!3m9!1s0x1e95092df83ff873:0x68ffdb3252129c8a!5m2!4m1!1i2!8m2!3d-26.2387282!4d28.0127827!16s%2Fg%2F11by_xwqjs!19sChIJc_g_-C0JlR4RipwSUjLb_2g?authuser=0&hl=en&rclk=1,https://www.tsogosun.com/hotel/gold-reef-city-hotel/,Google Maps
Hyatt House Johannesburg Rosebank,,+27 10 476 1234,,4.4,472,Unknown,https://www.google.com/maps/place/Hyatt+House+Johannesburg+Rosebank/data=!4m10!3m9!1s0x1e950d495bc73945:0x92dfc08ebf1ccf86!5m2!4m1!1i2!8m2!3d-26.1432801!4d28.0454573!16s%2Fg%2F11pv7_s34n!19sChIJRTnHW0kNlR4Rhs8cv47A35I?authuser=0&hl=en&rclk=1,https://www.hyatt.com/hyatt-house/en-US/johxr-hyatt-house-johannesburg-rosebank?src=corp_lclb_google_seo_johxr&utm_source=google&utm_medium=organic&utm_campaign=lmr,Google Maps
Businessburg Hotel,,+27 63 457 4961,Modest hotel near the fashion district,3.6,464,Unknown,https://www.google.com/maps/place/Businessburg+Hotel/data=!4m10!3m9!1s0x1e950e9e63a60a7d:0xd358269a2c1d82d3!5m2!4m1!1i2!8m2!3d-26.2004389!4d28.0469624!16s%2Fg%2F11cn5q9f4_!19sChIJfQqmY54OlR4R04IdLJomWNM?authuser=0&hl=en&rclk=1,https://businessburghotel.co.za/,Google Maps
The Parktonian All - Suite Hotel,,+27 11 403 5740,,4.3,2645,Unknown,https://www.google.com/maps/place/The+Parktonian+All+-+Suite+Hotel/data=!4m10!3m9!1s0x1e950c18d898c961:0xb06d8070b2be9687!5m2!4m1!1i2!8m2!3d-26.1934705!4d28.0393276!16s%2Fg%2F1tg9vzwd!19sChIJYcmY2BgMlR4Rh5a-snCAbbA?authuser=0&hl=en&rclk=1,http://www.parktonian.co.za/,Google Maps
Radisson RED Johannesburg Rosebank,,+27 10 023 3580,,4.7,3448,Unknown,https://www.google.com/maps/place/Radisson+RED+Johannesburg+Rosebank/data=!4m10!3m9!1s0x1e950dfd873c0383:0x3e1891531bc03820!5m2!4m1!1i2!8m2!3d-26.1417628!4d28.0428136!16s%2Fg%2F11rft27z3h!19sChIJgwM8h_0NlR4RIDjAG1ORGD4?authuser=0&hl=en&rclk=1,https://www.radissonhotels.com/en-us/hotels/radisson-red-johannesburg-rosebank?cid=a:se+b:gmb+c:emea+i:local+e:rdr+d:mea+h:ZAJNBROS,Google Maps
The Parkwood,,+27 11 880 1748,,4.8,127,Unknown,https://www.google.com/maps/place/The+Parkwood/data=!4m10!3m9!1s0x1e950cf50538ffff:0x10a059849f1ed325!5m2!4m1!1i2!8m2!3d-26.1530406!4d28.0442863!16s%2Fg%2F11s9097zty!19sChIJ__84BfUMlR4RJdMen4RZoBA?authuser=0&hl=en&rclk=1,http://theparkwood.com/,Google Maps
Hyde Johannesburg Rosebank,,+27 10 023 2600,,4.8,375,Unknown,https://www.google.com/maps/place/Hyde+Johannesburg+Rosebank/data=!4m10!3m9!1s0x1e950d66d20900dd:0xe816df03ce5011ed!5m2!4m1!1i2!8m2!3d-26.1453262!4d28.0423534!16s%2Fg%2F11kkcbqsgt!19sChIJ3QAJ0mYNlR4R7RFQzgPfFug?authuser=0&hl=en&rclk=1,https://hydehotels.com/home/johannesburg/,Google Maps
Southern Sun Rosebank,,+27 11 448 3600,,4.3,2379,Unknown,https://www.google.com/maps/place/Southern+Sun+Rosebank/data=!4m10!3m9!1s0x1e950dc5d221433f:0x917ccfa978c48df4!5m2!4m1!1i2!8m2!3d-26.1446149!4d28.0388066!16s%2Fg%2F11j2fnb472!19sChIJP0Mh0sUNlR4R9I3EeKnPfJE?authuser=0&hl=en&rclk=1,https://www.southernsun.com/southern-sun-rosebank?utm_source=google&utm_medium=businesslisting&utm_campaign=hotel_southern-sun-rosebank,Google Maps
The Catalyst,,+27 10 110 1100,,4.4,902,Unknown,https://www.google.com/maps/place/The+Catalyst/data=!4m10!3m9!1s0x1e950d98eff4e2f9:0x53ab897e917dfaa3!5m2!4m1!1i2!8m2!3d-26.1094738!4d28.0637738!16s%2Fg%2F11lkz5f2jt!19sChIJ-eL075gNlR4Ro_p9kX6Jq1M?authuser=0&hl=en&rclk=1,https://newmarkhotels.com/places/residences/the-catalyst/,Google Maps
"African Pride Melrose Arch, Autograph Collection®",,+27 11 214 6666,,4.6,1391,Unknown,"https://www.google.com/maps/place/African+Pride+Melrose+Arch,+Autograph+Collection%C2%AE/data=!4m10!3m9!1s0x1e950cf3a6b4afe7:0x59e3b2fef67bda5c!5m2!4m1!1i2!8m2!3d-26.1336131!4d28.0676215!16s%2Fg%2F1tdg0992!19sChIJ56-0pvMMlR4RXNp79v6y41k?authuser=0&hl=en&rclk=1",https://www.marriott.com/en-us/hotels/jnbma-african-pride-melrose-arch-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Google Maps
Garden Court Milpark,,+27 10 219 1000,,4.2,1998,Unknown,https://www.google.com/maps/place/Garden+Court+Milpark/data=!4m10!3m9!1s0x1e950c0ae89b6e33:0xe04b3ce4a457019f!5m2!4m1!1i2!8m2!3d-26.1834101!4d28.0192328!16s%2Fg%2F1tl5_g3d!19sChIJM26b6AoMlR4RnwFXpOQ8S-A?authuser=0&hl=en&rclk=1,https://www.southernsun.com/garden-court-milpark?utm_source=google&utm_medium=businesslisting&utm_campaign=hotel_garden-court-milpark,Google Maps
Legacy Guest Lodge,,+27 11 718 3061,,3.9,406,Unknown,https://www.google.com/maps/place/Legacy+Guest+Lodge/data=!4m10!3m9!1s0x1e950c2d8d052e2f:0x2e1a18ede267e9ed!5m2!4m1!1i2!8m2!3d-26.1846377!4d28.0611208!16s%2Fg%2F11b73kkdtb!19sChIJLy4FjS0MlR4R7eln4u0YGi4?authuser=0&hl=en&rclk=1,https://legacy-guest-lodge.johannesburgsouthafricahotels.com/en/,Google Maps
Inn & Out Sandton Park,,+27 11 786 8636,,3.5,219,No,https://www.google.com/maps/place/Inn+%26+Out+Sandton+Park/data=!4m10!3m9!1s0x1e950d3bb547d861:0xd49525fc441ac36d!5m2!4m1!1i2!8m2!3d-26.1169607!4d28.0812194!16s%2Fg%2F1pzsbx9qf!19sChIJYdhHtTsNlR4RbcMaRPwlldQ?authuser=0&hl=en&rclk=1,https://www.innandout-sandtonpark.co.za/,Google Maps
