Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Finest hiz and herz salon,,+234 816 475 2226,"Solaron plaza, 17 Akowonjo Rd",4.9,169,Unknown,https://www.google.com/maps/place/Finest+hiz+and+herz+salon/data=!4m7!3m6!1s0x103b912b2d1405d5:0xb74409e076babd85!8m2!3d6.5997603!4d3.2928946!16s%2Fg%2F11sgczg4fb!19sChIJ1QUULSuROxARhb26duAJRLc?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
7oh6 salon,,+234 812 581 8068,"kilo bus stop, 6, by Akpoguma St",4.9,161,Unknown,https://www.google.com/maps/place/7oh6+salon/data=!4m7!3m6!1s0x103b8dc87445331b:0x810d73c78e5b0299!8m2!3d6.5008993!4d3.3453811!16s%2Fg%2F11h89lqpgg!19sChIJGzNFdMiNOxARmQJbjsdzDYE?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Taylors Touch Beauty Place in Aguda Surulere Lagos.,,+234 812 219 7273,"Bakery Bustop, 16 Olatunde Onimole St",4.9,107,Unknown,https://www.google.com/maps/place/Taylors+Touch+Beauty+Place+in+Aguda+Surulere+Lagos./data=!4m7!3m6!1s0x103b8d3170e38335:0x2268f2e5f5d4b97d!8m2!3d6.4921196!4d3.347428!16s%2Fg%2F11k3f1rss0!19sChIJNYPjcDGNOxARfbnU9eXyaCI?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Hairbyfemi Lekki Lagos Hair studio,,+234 812 321 9500,"Centigrade Mall, Fola Osibo Rd",4.8,51,Unknown,https://www.google.com/maps/place/Hairbyfemi+Lekki+Lagos+Hair+studio/data=!4m7!3m6!1s0x103bf54ddee092e1:0xc40807ca667f94b2!8m2!3d6.442832!4d3.4653805!16s%2Fg%2F11qg9lz84g!19sChIJ4ZLg3k31OxARspR_ZsoHCMQ?authuser=0&hl=en&rclk=1,83,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Allsetgo Unisex Salon,,+234 907 595 3008,"3, CGMP+FXH, Lekki Penninsula II, Lagos 106104",4.8,22,Unknown,https://www.google.com/maps/place/Allsetgo+Unisex+Salon/data=!4m7!3m6!1s0x103bf7eb867286cb:0x47a58f174dda26af!8m2!3d6.4336875!4d3.5374375!16s%2Fg%2F11syrh6bdx!19sChIJy4Zyhuv3OxARrybaTRePpUc?authuser=0&hl=en&rclk=1,83,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Preshy beauty braids Abuja,,+234 707 333 8554,6 Lobito Cres,4.9,59,Unknown,https://www.google.com/maps/place/Preshy+beauty+braids+Abuja/data=!4m7!3m6!1s0x104e0b511bb81281:0x715f4f865f7e36bb!8m2!3d9.0719341!4d7.4897459!16s%2Fg%2F11ywt87mj1!19sChIJgRK4G1ELThARuzZ-X4ZPX3E?authuser=0&hl=en&rclk=1,83,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Tasha Beauty And Hair Salons.. Abuja nearby,,+234 903 322 3399,"Tasha Beauty and hair salon Cube Ameen plaza opposite barracuda, Adetokunbo Ademola Cres",4.9,22,Unknown,https://www.google.com/maps/place/Tasha+Beauty+And+Hair+Salons..+Abuja+nearby/data=!4m7!3m6!1s0x104e0b807e4786e9:0xcbcb665d6cc63429!8m2!3d9.0730978!4d7.4762645!16s%2Fg%2F11ymhxtb_4!19sChIJ6YZHfoALThARKTTGbF1my8s?authuser=0&hl=en&rclk=1,83,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Sarisignature Hair Salon,,+234 806 666 0002,269a Patience Coker St,4.6,166,Unknown,https://www.google.com/maps/place/Sarisignature+Hair+Salon/data=!4m7!3m6!1s0x103b8ad1d33d12ff:0x92bb39038f5f7881!8m2!3d6.4317429!4d3.4325819!16s%2Fg%2F11h7s3xz11!19sChIJ_xI909GKOxARgXhfjwM5u5I?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
TEJ Salon and Spa,,+234 906 371 8357,19 Adeleke St,4.6,256,Unknown,https://www.google.com/maps/place/TEJ+Salon+and+Spa/data=!4m7!3m6!1s0x103b93cfa8f07707:0x363406da18f16244!8m2!3d6.6022239!4d3.350691!16s%2Fg%2F11gy9yv9cw!19sChIJB3fwqM-TOxARRGLxGNoGNDY?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Next Unisex Salon~Liasu Branch,,+234 809 699 9935,62 Liasu Rd,4.7,104,Unknown,https://www.google.com/maps/place/Next+Unisex+Salon~Liasu+Branch/data=!4m7!3m6!1s0x103b8fd9f70a4cad:0x979df9c6785d8228!8m2!3d6.5618325!4d3.2814713!16s%2Fg%2F11h2gf0jch!19sChIJrUwK99mPOxARKIJdeMb5nZc?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
MY EXTENSIONZ,,+234 814 549 1180,"1st Floor, 9 Otunba Adedoyin Ogungbe Cres",4.7,347,Unknown,https://www.google.com/maps/place/MY+EXTENSIONZ/data=!4m7!3m6!1s0x103bf56603a441fb:0x81942bebc0de6442!8m2!3d6.436084!4d3.4571061!16s%2Fg%2F11h1rgtcwp!19sChIJ-0GkA2b1OxARQmTewOsrlIE?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Mastercut Unisex Salon,,+234 802 332 5958,"3 Ogbunike St, off Admiralty Way",4.5,287,Unknown,https://www.google.com/maps/place/Mastercut+Unisex+Salon/data=!4m7!3m6!1s0x103bf5ffadc6110b:0x96a05c8500235ec0!8m2!3d6.4473337!4d3.4568432!16s%2Fg%2F11fjvwdy6q!19sChIJCxHGrf_1OxARwF4jAIVcoJY?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
B'S Natural Hair Salon,,+234 907 999 9856,"52,diya street ifako",4.8,104,Unknown,https://www.google.com/maps/place/B%27S+Natural+Hair+Salon/data=!4m7!3m6!1s0x103b8d9929719669:0xa63e2915e3434aaa!8m2!3d6.5550467!4d3.3893485!16s%2Fg%2F11r3tcg0jj!19sChIJaZZxKZmNOxARqkpD4xUpPqY?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Hayub haircut unisex salon,,+234 907 913 5337,"local government, 49 Modupe Street, Fola Agoro St",4.9,177,Unknown,https://www.google.com/maps/place/Hayub+haircut+unisex+salon/data=!4m7!3m6!1s0x82966da2cc1752f:0x27a384aafeb9c14d!8m2!3d6.5252432!4d3.3820193!16s%2Fg%2F11t7w45b52!19sChIJL3XBLNpmKQgRTcG5_qqEoyc?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
"Beauty Box Spa, Nail and Beauty",,+234 903 638 4295,"11 Agbor St, Int'l Airport Rd, off Osolo Way",4.8,170,Unknown,"https://www.google.com/maps/place/Beauty+Box+Spa,+Nail+and+Beauty/data=!4m7!3m6!1s0x103b88b41c1ed09f:0x321d8df7819569c1!8m2!3d6.5470595!4d3.333475!16s%2Fg%2F11d_tcv39s!19sChIJn9AeHLSIOxARwWmVgfeNHTI?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Abbey's Hair Studio,,+234 708 773 6580,39 Bolaji Banwo ST Aguda,5.0,107,Unknown,https://www.google.com/maps/place/Abbey%27s+Hair+Studio/data=!4m7!3m6!1s0x103b8f42fad662f9:0xbcbb7c190f2c34e9!8m2!3d6.48728!4d3.3368565!16s%2Fg%2F11g_zk4p2y!19sChIJ-WLW-kKPOxAR6TQsDxl8u7w?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Jatto Salon Plus,,+234 802 342 8410,"53 Tafawa Balewa Crescent, off Adeniran Ogunsanya St",4.5,201,Unknown,https://www.google.com/maps/place/Jatto+Salon+Plus/data=!4m7!3m6!1s0x103b8d841c25a429:0x67dfe81d8227ed24!8m2!3d6.497311!4d3.3566118!16s%2Fg%2F11b7sz0wdh!19sChIJKaQlHISNOxARJO0ngh3o32c?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Lamisking pixiesalon and spa Abuja,,+234 901 828 7564,"CVS Plaza, off Adetokunbo Ademola Crescent",4.9,132,Unknown,https://www.google.com/maps/place/Lamisking+pixiesalon+and+spa+Abuja/data=!4m7!3m6!1s0x104e0b28d215f60f:0xd231d7b73228794e!8m2!3d9.0796219!4d7.480536!16s%2Fg%2F11ssbzjswq!19sChIJD_YV0igLThARTnkoMrfXMdI?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Beauty Emporia | Abuja Beauty Salon in Abuja,,+234 805 488 5901,3 Haile Selassie St,4.9,146,Unknown,https://www.google.com/maps/place/Beauty+Emporia+%7C+Abuja+Beauty+Salon+in+Abuja/data=!4m7!3m6!1s0x104e0bc3e6baf815:0xa51f22b12036b533!8m2!3d9.0429251!4d7.5268714!16s%2Fg%2F11pt_xxj4_!19sChIJFfi65sMLThARM7U2ILEiH6U?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
