Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
O'Naturals (Natural Hair Salon),,+234 818 802 4444,54 Ogudu Road 1st Floor Stanbic IBTC Bank Building just after NNPC Petrol Station,4.4,326,Unknown,https://www.google.com/maps/place/O%27Naturals+%28Natural+Hair+Salon%29/data=!4m7!3m6!1s0x103b928b6fc12275:0x5b9579c276ab035!8m2!3d6.5864401!4d3.3834792!16s%2Fg%2F1yg4d0p2p!19sChIJdSLBb4uSOxARNbBqJ5xXuQU?authuser=0&hl=en&rclk=1,http://www.onaturalsbeauty.com.ng/,Google Maps
Tee trends Makeover and Salon,,+234 702 524 1605,"22 Ogundana St, off Allen Avenue",4.9,731,Unknown,https://www.google.com/maps/place/Tee+trends+Makeover+and+Salon/data=!4m7!3m6!1s0x103b930eb9c58201:0xa2b11a8a35da1768!8m2!3d6.6025418!4d3.355258!16s%2Fg%2F11qpvkns52!19sChIJAYLFuQ6TOxARaBfaNYoasaI?authuser=0&hl=en&rclk=1,https://teetrendsmakeovers.com/,Google Maps
The Braiding Vault Signature,,+234 816 978 8625,7/12 Rumens Rd,4.7,108,Unknown,https://www.google.com/maps/place/The+Braiding+Vault+Signature/data=!4m7!3m6!1s0x103bf508e7e168c5:0x396c6f8ca7e5e216!8m2!3d6.4479143!4d3.4302576!16s%2Fg%2F11mx79x_pt!19sChIJxWjh5wj1OxARFuLlp4xvbDk?authuser=0&hl=en&rclk=1,https://thebraidingvault.com/tbv-lagos/,Google Maps
TCP EMPIRE | Hair salon in Ikeja | Salons in Ikeja | Nail in Ikeja |Braid in Ikeja,,+234 810 624 3971,"9 Ogundana St, off allen",5.0,425,Unknown,https://www.google.com/maps/place/TCP+EMPIRE+%7C+Hair+salon+in+Ikeja+%7C+Salons+in+Ikeja+%7C+Nail+in+Ikeja+%7CBraid+in+Ikeja/data=!4m7!3m6!1s0x103b930acc257499:0x785f156b22ff683d!8m2!3d6.6015554!4d3.3530412!16s%2Fg%2F11q_5spc_b!19sChIJmXQlzAqTOxARPWj_ImsVX3g?authuser=0&hl=en&rclk=1,https://www.tcpempire.com/home,Google Maps
HHC Haekhinz Hair Culture,,+234 913 448 8284,"4b Ado Ibrahim St, off Montgomery Road",4.5,75,Unknown,https://www.google.com/maps/place/HHC+Haekhinz+Hair+Culture/data=!4m7!3m6!1s0x103b8db922572dbf:0xa5b342bf35569a36!8m2!3d6.5085875!4d3.3761966!16s%2Fg%2F11kmbwqf5w!19sChIJvy1XIrmNOxARNppWNb9Cs6U?authuser=0&hl=en&rclk=1,https://app.withsplice.com/s/hhc_haekhinzhairculture,Google Maps
Tasala HQ Hair and Beauty Salon,,+234 706 350 9207,130B Association Rd,4.1,154,Unknown,https://www.google.com/maps/place/Tasala+HQ+Hair+and+Beauty+Salon/data=!4m7!3m6!1s0x103bf58254a698eb:0x64c30cab7af3a935!8m2!3d6.4581407!4d3.4183466!16s%2Fg%2F11gsdqv0x1!19sChIJ65imVIL1OxARNanzeqsMw2Q?authuser=0&hl=en&rclk=1,http://www.tasalahq.com/,Google Maps
Johnnys Salon & Spa,,+234 808 080 8805,"Johnny Salon and Spa, Mega Plaza Mall, 14 Idowu Martins St, off Adeola Odeku Street",4.9,360,Unknown,https://www.google.com/maps/place/Johnnys+Salon+%26+Spa/data=!4m7!3m6!1s0x103bf52ca690c031:0x3312772fdb6f25cb!8m2!3d6.4332807!4d3.4204101!16s%2Fg%2F11c5r5m216!19sChIJMcCQpiz1OxARyyVv2y93EjM?authuser=0&hl=en&rclk=1,http://www.johnnysalon.com/,Google Maps
Boss Girl Hair Salon & Spa Lekki,,+234 703 988 9845,"21 Ayinde Akinmade St, off Admiralty Way",4.9,121,Unknown,https://www.google.com/maps/place/Boss+Girl+Hair+Salon+%26+Spa+Lekki/data=!4m7!3m6!1s0x103bf5ddf7c0c0f3:0xee431a31141156a9!8m2!3d6.4458059!4d3.4812647!16s%2Fg%2F11vm6tntnt!19sChIJ88DA9931OxARqVYRFDEaQ-4?authuser=0&hl=en&rclk=1,https://www.fresha.com/a/boss-girl-hair-lagos-5-fola-osibo-road-t70fbbrr?preview=458ce6a8-7556-4af5-9c01-1835cf33b9a6&pId=732988,Google Maps
JMAX beautysalon,,+234 808 507 7963,"2 Oriyomi St, off Toyin Street",4.8,127,Unknown,https://www.google.com/maps/place/JMAX+beautysalon/data=!4m7!3m6!1s0x103b93547f53bdd9:0x51065aa8fea97091!8m2!3d6.5961804!4d3.3423356!16s%2Fg%2F11h_4tqv4g!19sChIJ2b1Tf1STOxARkXCp_qhaBlE?authuser=0&hl=en&rclk=1,https://shorturl.at/p3Z5b,Google Maps
Mods Salon,,+234 807 707 7771,"Ground Floor, Brasas'r Place, 69 Admiralty Wy",4.1,270,Unknown,https://www.google.com/maps/place/Mods+Salon/data=!4m7!3m6!1s0x103bf44f3e877871:0xf9e05840a072465b!8m2!3d6.4476327!4d3.4722576!16s%2Fg%2F11c5t0sxgj!19sChIJcXiHPk_0OxARW0ZyoEBY4Pk?authuser=0&hl=en&rclk=1,https://modssalon.com.ng/,Google Maps
