Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Bamburi Beach Homes,,+254 733 982516,Malindi Rd,4.2,41,Unknown,https://www.google.com/maps/place/Bamburi+Beach+Homes/data=!4m7!3m6!1s0x18400e8189bfbc91:0x45f83c9dcbeb3642!8m2!3d-3.9877334!4d39.73612!16s%2Fg%2F1pxwhm291!19sChIJkby_iYEOQBgRQjbry508-EU?authuser=0&hl=en&rclk=1,78,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Bandari Villas,,+254 722 238818,"Near Poster, Bombolulu, Off Nyali Road",4.3,229,Unknown,https://www.google.com/maps/place/Bandari+Villas/data=!4m7!3m6!1s0x18400d8e2c51a263:0x8acbede3aa6d5281!8m2!3d-4.0177791!4d39.7060282!16s%2Fg%2F1pzsc9y79!19sChIJY6JRLI4NQBgRgVJtquPty4o?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Le Royal apartments,,+254 726 916166,2nd Ave,4.4,218,Unknown,https://www.google.com/maps/place/Le+Royal+apartments/data=!4m7!3m6!1s0x18400dea76b99ba3:0xd49ce7cfeacf13d3!8m2!3d-4.0213517!4d39.7266433!16s%2Fg%2F11h7sj6cys!19sChIJo5u5duoNQBgR0xPP6s_nnNQ?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Miritini Estate,,+254 725 815847,"Next To Miritini Stage, Miritini Estate Road, Mombasa Road",4.1,320,Unknown,https://www.google.com/maps/place/Miritini+Estate/data=!4m7!3m6!1s0x1840722df032afc9:0x4875751836d8e109!8m2!3d-4.0041021!4d39.5789159!16s%2Fg%2F1pzvzzq_s!19sChIJya8y8C1yQBgRCeHYNhh1dUg?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
BaseMark Valuers and Property Consultants,,+254 794 858749,,5.0,11,Unknown,https://www.google.com/maps/place/BaseMark+Valuers+and+Property+Consultants/data=!4m7!3m6!1s0x182aa50ff7bc3a5d:0x9fdc2b95d8780119!8m2!3d-0.1042529!4d34.755829!16s%2Fg%2F11xp1sysgw!19sChIJXTq89w-lKhgRGQF42JUr3J8?authuser=0&hl=en&rclk=1,68,Warm,social_media,no matching own-domain result in top results (checked 2x),Google Maps
City Boss Realtors,,+254 713 111106,Marcus Garvey,4.7,44,Unknown,https://www.google.com/maps/place/City+Boss+Realtors/data=!4m7!3m6!1s0x182f1142d87615f7:0x46c78a7052bb3168!8m2!3d-1.2970043!4d36.791493!16s%2Fg%2F11sgkymtfy!19sChIJ9xV22EIRLxgRaDG7UnCKx0Y?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
𝐉𝐎𝐂𝐇𝐀𝐎-𝐋𝐈𝐍𝐊𝐒𝐇𝐎𝐌𝐄 (𝐊) 𝐋𝐓𝐃,,+254 736 283088,Off Mikindani-Aldina Rd wema plaza,5.0,53,Unknown,https://www.google.com/maps/place/%F0%9D%90%89%F0%9D%90%8E%F0%9D%90%82%F0%9D%90%87%F0%9D%90%80%F0%9D%90%8E-%F0%9D%90%8B%F0%9D%90%88%F0%9D%90%8D%F0%9D%90%8A%F0%9D%90%92%F0%9D%90%87%F0%9D%90%8E%F0%9D%90%8C%F0%9D%90%84+%28%F0%9D%90%8A%29+%F0%9D%90%8B%F0%9D%90%93%F0%9D%90%83/data=!4m7!3m6!1s0x184073f40dc57f9b:0xa57fee48fec8a360!8m2!3d-4.0048553!4d39.6286904!16s%2Fg%2F11p_7b0pqc!19sChIJm3_FDfRzQBgRYKPI_kjuf6U?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Reaza Enterprises,,+254 733 417665,,5.0,40,Unknown,https://www.google.com/maps/place/Reaza+Enterprises/data=!4m7!3m6!1s0x1840132e92f019f3:0x5948952e5780eaba!8m2!3d-4.0507256!4d39.6967843!16s%2Fg%2F11rwp_vxk5!19sChIJ8xnwki4TQBgRuuqAVy6VSFk?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Jambura Homes - Furnished Apartments (AirBnB),,+254 720 137025,"Off Links Road, Near the Beach, Opposite Nyali Center (Mall)",4.9,19,Unknown,https://www.google.com/maps/place/Jambura+Homes+-+Furnished+Apartments+%28AirBnB%29/data=!4m7!3m6!1s0x1840130672c35197:0xa3fc5629c4217fb0!8m2!3d-4.0240535!4d39.7220296!16s%2Fg%2F11ygr9y5n4!19sChIJl1HDcgYTQBgRsH8hxClW_KM?authuser=0&hl=en&rclk=1,63,Warm,link_in_bio,no matching own-domain result in top results (checked 2x),Google Maps
Favorland Ventures,,+254 759 282987,Shimoni fisheries,3.9,627,Unknown,https://www.google.com/maps/place/Favorland+Ventures/data=!4m7!3m6!1s0x18400dba154618ff:0xc04f923ff59dc0ef!8m2!3d-4.0010215!4d39.7061086!16s%2Fg%2F11h0z2vjd!19sChIJ_xhGFboNQBgR78Cd9T-ST8A?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
