Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
Austine Realtors Limited - Real Estate Agency Nairobi,,+254 704 350354,Off Riara Rd,4.9,108,Unknown,https://www.google.com/maps/place/Austine+Realtors+Limited+-+Real+Estate+Agency+Nairobi/data=!4m7!3m6!1s0x182f17d82261868b:0x3d21b75d76376ba9!8m2!3d-1.2980651!4d36.7649059!16s%2Fg%2F11qpdtb7kv!19sChIJi4ZhItgXLxgRqWs3dl23IT0?authuser=0&hl=en&rclk=1,https://www.austinerealtors.co.ke/,Google Maps
Mapema luxury homes,,+254 722 854439,"The Stables, off Karen Rd",4.9,40,Unknown,https://www.google.com/maps/place/Mapema+luxury+homes/data=!4m7!3m6!1s0x182f1bb6e6c9a251:0xa03f57f6506b57b1!8m2!3d-1.3245188!4d36.7175324!16s%2Fg%2F11ynn92ywy!19sChIJUaLJ5rYbLxgRsVdrUPZXP6A?authuser=0&hl=en&rclk=1,https://mapemaluxuryhomes.com/,Google Maps
LM Realtors,,+254 736 096805,Cape Office Park,4.7,289,Unknown,https://www.google.com/maps/place/LM+Realtors/data=!4m7!3m6!1s0x182f17bc4ba6f5e5:0xd74ce5d8c3e460fa!8m2!3d-1.294019!4d36.7871976!16s%2Fg%2F11sx5180td!19sChIJ5fWmS7wXLxgR-mDkw9jlTNc?authuser=0&hl=en&rclk=1,https://www.lmrealtors.ke/,Google Maps
Knight Frank Kenya,,+254 733 603260,"Lion Place Building - Ground Floor Waiyaki Way, Karuna Cl",4.3,139,Unknown,https://www.google.com/maps/place/Knight+Frank+Kenya/data=!4m7!3m6!1s0x182f1727f13ad89d:0xc682319116bf64b8!8m2!3d-1.2605063!4d36.7955241!16s%2Fg%2F1tf5sgyw!19sChIJndg68ScXLxgRuGS_FpExgsY?authuser=0&hl=en&rclk=1,https://www.knightfrank.co.ke/,Google Maps
Lj property,,+254 759 436801,Ring Rd,5.0,27,Unknown,https://www.google.com/maps/place/Lj+property/data=!4m7!3m6!1s0x84a81b67b9fd86d7:0x48192f82aad39b93!8m2!3d-1.2595777!4d36.7695293!16s%2Fg%2F11mkxpxvd_!19sChIJ14b9uWcbqIQRk5vTqoIvGUg?authuser=0&hl=en&rclk=1,http://www.ljpropertyltd.co.ke/,Google Maps
REALTY BORIS,,+254 792 530530,"Timau Plaza, Timau Road",4.9,118,Unknown,https://www.google.com/maps/place/REALTY+BORIS/data=!4m7!3m6!1s0x182f1be5b4e09659:0xbf06a0c1e4e21bb4!8m2!3d-1.2924163!4d36.7897992!16s%2Fg%2F11p65rxy47!19sChIJWZbgtOUbLxgRtBvi5MGgBr8?authuser=0&hl=en&rclk=1,http://realtyboris.com/,Google Maps
AMG Realtors,,+254 796 888555,"Nairobi Pentecostal Bible College, 2nd Floor Garden Estate Rd",4.8,117,Unknown,https://www.google.com/maps/place/AMG+Realtors/data=!4m7!3m6!1s0x182f15d40465c165:0x4910f82a3f049f7!8m2!3d-1.2239712!4d36.8657222!16s%2Fg%2F11h1hnjds6!19sChIJZcFlBNQVLxgR90nwo4IPkQQ?authuser=0&hl=en&rclk=1,https://amgrealtors.com/,Google Maps
Pam Golding Properties Kenya,,+254 20 2370090,"Fortis Tower, 10th floor Woodvale Grv",4.1,112,Unknown,https://www.google.com/maps/place/Pam+Golding+Properties+Kenya/data=!4m7!3m6!1s0x182f176acda36495:0x1cbb7fce9969b22f!8m2!3d-1.2646758!4d36.8042297!16s%2Fg%2F11bzv5z4cv!19sChIJlWSjzWoXLxgRL7Jpmc5_uxw?authuser=0&hl=en&rclk=1,https://www.pamgolding.co.ke/,Google Maps
Vivara Realty,,+254 708 300718,23 Olenguruone Ave,4.8,40,Unknown,https://www.google.com/maps/place/Vivara+Realty/data=!4m7!3m6!1s0x182f1941db98646d:0xb5731157e0e3a15c!8m2!3d-1.2789243!4d36.7790231!16s%2Fg%2F11yd2ypky1!19sChIJbWSY20EZLxgRXKHj4FcRc7U?authuser=0&hl=en&rclk=1,https://www.vivararealty.co.ke/,Google Maps
Realty Plus Ltd,,+254 713 225374,"Mai Mahiu Rd, 10887",4.6,63,Unknown,https://www.google.com/maps/place/Realty+Plus+Ltd/data=!4m7!3m6!1s0x182f1056e0a61b17:0x8e2cb0849fced6f5!8m2!3d-1.3136633!4d36.817354!16s%2Fg%2F1hm5m4p_4!19sChIJFxum4FYQLxgR9dbOn4SwLI4?authuser=0&hl=en&rclk=1,https://realtypluskenya.com/,Google Maps
Roughson Realtors,,+254 726 492988,33046,4.9,27,Unknown,https://www.google.com/maps/place/Roughson+Realtors/data=!4m7!3m6!1s0x182f10d301305949:0x83191aa1f9be4d61!8m2!3d-1.2810325!4d36.8170998!16s%2Fg%2F11gfmb5d7w!19sChIJSVkwAdMQLxgRYU2--aEaGYM?authuser=0&hl=en&rclk=1,https://www.roughsonrealtors.co.ke/,Google Maps
Optiven Limited - Real Estate Company in Kenya,,+254 790 300300,Zamani Business Park,4.8,361,Unknown,https://www.google.com/maps/place/Optiven+Limited+-+Real+Estate+Company+in+Kenya/data=!4m7!3m6!1s0x182f112956961f27:0x66f707b1592587fc!8m2!3d-1.3238619!4d36.7049041!16s%2Fg%2F1tdv8rf9!19sChIJJx-WVikRLxgR_IclWbEH92Y?authuser=0&hl=en&rclk=1,https://www.optiven.co.ke/,Google Maps
"Ace Realtors Limited - Nairobi, Kenya",,+254 722 338835,"Jimkan House, Upper 4th Floor Woodvale Grv",4.1,10,Unknown,"https://www.google.com/maps/place/Ace+Realtors+Limited+-+Nairobi,+Kenya/data=!4m7!3m6!1s0x182f17155fdb02cb:0xc7140a249fe7cc49!8m2!3d-1.2645762!4d36.8045894!16s%2Fg%2F11h188mjw!19sChIJywLbXxUXLxgRScznnyQKFMc?authuser=0&hl=en&rclk=1",http://www.acerealtorsltd.com/,Google Maps
Domira Realtors,,+254 142 112001,Riara Rd,5.0,261,Unknown,https://www.google.com/maps/place/Domira+Realtors/data=!4m7!3m6!1s0x182f1b01dbc698c1:0x24317480b1043c76!8m2!3d-1.2963502!4d36.757963!16s%2Fg%2F11z391f370!19sChIJwZjG2wEbLxgRdjwEsYB0MSQ?authuser=0&hl=en&rclk=1,https://domirarealtors.com/,Google Maps
VENSAM PROPERTY KENYA~ REAL ESTATE AGENCY,,+254 722 473703,"Mytown mall, off Langata Rd",5.0,12,Unknown,https://www.google.com/maps/place/VENSAM+PROPERTY+KENYA~+REAL+ESTATE+AGENCY/data=!4m7!3m6!1s0x646d362a1249fbbf:0x7941dc439bf3e49e!8m2!3d-1.3374721!4d36.7248583!16s%2Fg%2F11z20b9vfs!19sChIJv_tJEio2bWQRnuTzm0PcQXk?authuser=0&hl=en&rclk=1,http://www.vensampropertykenya.co.in/,Google Maps
Coral Property International Ltd,,+254 710 891028,3rd Floor Mwanzi Rd,4.9,238,Unknown,https://www.google.com/maps/place/Coral+Property+International+Ltd/data=!4m7!3m6!1s0x182f176d58c1b0b5:0x5b29436cea256d1f!8m2!3d-1.256329!4d36.8023844!16s%2Fg%2F11clytpplf!19sChIJtbDBWG0XLxgRH20l6mxDKVs?authuser=0&hl=en&rclk=1,http://www.coralpi.com/,Google Maps
Halifax Estate Agency Ltd,,+254 737 519582,Crossway 8 Crossway opp shimmers plaza gate no 8,3.4,20,Unknown,https://www.google.com/maps/place/Halifax+Estate+Agency+Ltd/data=!4m7!3m6!1s0x182f173365722719:0xb5539e67f3756a83!8m2!3d-1.265286!4d36.8057656!16s%2Fg%2F1thn7sgm!19sChIJGSdyZTMXLxgRg2p182eeU7U?authuser=0&hl=en&rclk=1,https://halifaxestate.com/,Google Maps
Azizi Realtors,,+254 703 790095,James Gichuru Road,4.2,42,Unknown,https://www.google.com/maps/place/Azizi+Realtors/data=!4m7!3m6!1s0x182f19f7fb0b92ab:0x17ad8d9e20efad2e!8m2!3d-1.28018!4d36.770654!16s%2Fg%2F1pzvk2f50!19sChIJq5IL-_cZLxgRLq3vIJ6NrRc?authuser=0&hl=en&rclk=1,https://azizirealtors.co.ke/,Google Maps
Ladva Realtors Ltd.,,+254 725 474747,"The Piano, 8th Floor Brookside Dr",5.0,33,Unknown,https://www.google.com/maps/place/Ladva+Realtors+Ltd./data=!4m7!3m6!1s0x182f174dcd41c047:0x4254597e7611d64a!8m2!3d-1.2561265!4d36.7963824!16s%2Fg%2F11n52z1_zd!19sChIJR8BBzU0XLxgRStYRdn5ZVEI?authuser=0&hl=en&rclk=1,https://ladvarealtors.com/,Google Maps
Koch Properties,,+254 701 666666,"Delta Riverside Office Park, Block 3, Third Floor Riverside Dr",5.0,24,Unknown,https://www.google.com/maps/place/Koch+Properties/data=!4m7!3m6!1s0x182f17f8f726097b:0x8bd4bfa27c84ac5a!8m2!3d-1.2704728!4d36.8002108!16s%2Fg%2F11rx3v8zrj!19sChIJewkm9_gXLxgRWqyEfKK_1Is?authuser=0&hl=en&rclk=1,https://koch-properties.com/,Google Maps
Nairobi Homes and Apartments,,+254 794 454571,Kaunda St,5.0,28,Unknown,https://www.google.com/maps/place/Nairobi+Homes+and+Apartments/data=!4m7!3m6!1s0x182f1121b557aaef:0xed72e3f17dda826f!8m2!3d-1.2852514!4d36.8228417!16s%2Fg%2F11zgqw1s9r!19sChIJ76pXtSERLxgRb4LaffHjcu0?authuser=0&hl=en&rclk=1,http://www.makaohomes.co.ke/,Google Maps
Rubrina Properties,,+254 720 927238,,4.9,34,Unknown,https://www.google.com/maps/place/Rubrina+Properties/data=!4m7!3m6!1s0x182f11fd38c88f89:0x185780900f3373ea!8m2!3d-1.267028!4d36.8117645!16s%2Fg%2F11s7m_2d68!19sChIJiY_IOP0RLxgR6nMzD5CAVxg?authuser=0&hl=en&rclk=1,https://rubrinaproperties.co.ke/,Google Maps
Sir Francis Homes,,+254 722 720812,"Riara center, Riara Rd",5.0,76,Unknown,https://www.google.com/maps/place/Sir+Francis+Homes/data=!4m7!3m6!1s0x182f109e0cdf82ed:0xf3d83c4bc9511b49!8m2!3d-1.2975419!4d36.7597134!16s%2Fg%2F11cn0nrgd1!19sChIJ7YLfDJ4QLxgRSRtRyUs82PM?authuser=0&hl=en&rclk=1,https://sirfrancismarketingltd.co.ke/,Google Maps
Ryden International - Real Estate Nairobi,,+254 734 832461,"Suite 14, 4th Floor, The GreenHouse (Near Adams Arcade",3.6,19,Unknown,https://www.google.com/maps/place/Ryden+International+-+Real+Estate+Nairobi/data=!4m7!3m6!1s0x182f1a761bb87f29:0xeb9a436fa45423d4!8m2!3d-1.3004537!4d36.7816058!16s%2Fg%2F1tf3l8_q!19sChIJKX-4G3YaLxgR1CNUpG9Dmus?authuser=0&hl=en&rclk=1,http://www.ryden.co.ke/,Google Maps
Kenya Property,,+254 700 000014,"PQ5M+V64, Galana Rd",4.9,14,Unknown,https://www.google.com/maps/place/Kenya+Property/data=!4m7!3m6!1s0x182f11d667adf6ab:0xc64d3f1226dcb9e0!8m2!3d-1.2903125!4d36.7830625!16s%2Fg%2F11ylpbmqpd!19sChIJq_atZ9YRLxgR4LncJhI_TcY?authuser=0&hl=en&rclk=1,https://kenyaproperty.co.ke/,Google Maps
Hao Finder Group,,+254 118 582674,Delta Towers,4.8,20,Unknown,https://www.google.com/maps/place/Hao+Finder+Group/data=!4m7!3m6!1s0x182f41960404928d:0xaab345b183e40642!8m2!3d-1.2655028!4d36.8021849!16s%2Fg%2F11s3s74n75!19sChIJjZIEBJZBLxgRQgbkg7FFs6o?authuser=0&hl=en&rclk=1,https://haofinder.com/,Google Maps
